OTU,Genus,Mean,SD,SE
Otu0003,Bacteroides,15.18043149,24.08229016,13.90391671
Otu0006,Lactobacillus,7.699015883,13.19670824,7.619123054
Otu0020,Parabacteroides,6.426521743,10.89465655,6.290032894
Otu0009,Lachnospiraceae_NK4A136_group,3.302438323,5.588423815,3.226477994
Otu0032,Bacteroides,3.185013,4.262982272,2.461233962
Otu0037,Bacteroides,2.636589071,2.126050274,1.227475698
Otu0149,Prevotellaceae_unclassified,1.839861126,3.154946774,1.821509369
Otu0027,Bacteroides,1.666778571,1.551736183,0.895895303
Otu0213,Clostridiales_vadinBB60_group_ge,1.214007457,2.071808262,1.196159058
Otu0044,Parabacteroides,0.946616815,1.408432473,0.813158868
Otu0035,Lachnospiraceae_NK4A136_group,0.693506933,1.056803235,0.610145632
Otu0029,Prevotellaceae_unclassified,0.692882426,0.971743309,0.561036261
Otu0022,Alistipes,0.62375731,1.024672285,0.59159482
Otu0025,Bacteroides,0.443349583,0.523993647,0.302527873
Otu0088,Christensenellaceae_R-7_group,0.338779016,0.56225167,0.324616153
Otu0051,Oscillibacter,0.324687293,0.474381551,0.273884316
Otu0157,Ruminococcaceae_UCG-013,0.261383253,0.436547776,0.252040976
Otu0017,Lachnospiraceae_unclassified,0.251666113,0.270266427,0.156038394
Otu0002,Akkermansia,0.198598327,0.151666427,0.087564653
Otu0075,Ruminococcaceae_unclassified,0.17883681,0.107560555,0.062100115
Otu0040,Bacteroides,0.171725397,0.159786113,0.092252556
Otu0073,Clostridiales_vadinBB60_group_ge,0.167468871,0.090168805,0.052058984
Otu0061,Ruminiclostridium_9,0.147145386,0.157786892,0.091098304
Otu0201,Butyricimonas,0.123426611,0.151744448,0.087609698
Otu0177,Ruminococcaceae_unclassified,0.114649589,0.118299738,0.068300386
Otu0047,Lachnospiraceae_unclassified,0.104956467,0.090243413,0.052102059
Otu0062,Lachnospiraceae_unclassified,0.104022756,0.080663243,0.046570945
Otu0296,Muribaculaceae_ge,0.102656106,0.162288959,0.093697574
Otu0055,Ruminiclostridium_6,0.102363786,0.161218395,0.093079484
Otu0108,Alistipes,0.098281523,0.030456159,0.017583872
Otu0156,Muribaculaceae_ge,0.065566609,0.097383823,0.056224576
Otu0065,Lachnospiraceae_unclassified,0.06344435,0.053289439,0.030766672
Otu0154,uncultured,0.060950655,0.044461203,0.025669687
Otu0391,UBA1819,0.060759816,0.089722463,0.051801288
Otu0184,Anaerovorax,0.048532714,0.045258702,0.026130124
Otu0355,Streptococcus,0.045898709,0.017754693,0.010250677
Otu0175,uncultured,0.045131091,0.038193302,0.022050913
Otu0204,Ruminococcaceae_unclassified,0.036153293,0.038413038,0.022177778
Otu0195,Lachnospiraceae_unclassified,0.030987073,0.020065021,0.011584545
Otu0320,Lachnospiraceae_unclassified,0.024183829,0.018549247,0.010709413
Otu0174,Ruminococcaceae_UCG-005,0.01835178,0.008884021,0.005129192
Otu0651,Staphylococcus,0.015128988,0.010028057,0.005789702
Otu0803,Lachnospiraceae_unclassified,0.012162069,0.004894772,0.002825998
