RelTime,Delta,CO2,,,,,
-0.616666667,-26.85,1.09,,,,,
-0.3,-26.44,0.98,,,,,
0,-27.02,1,,,,,
0.15,NA,NA,,,,,
0.316666667,72,1.67,,,,,
0.8,191.08,1.09,,,,,
1.116666667,211.94,0.95,,,,,
1.433333333,244,0.84,,,,,
1.716666667,451.98,0.98,,,,,
2.05,861.89,0.88,,,,,
2.35,1653.47,0.71,,,,,
2.633333333,1779.4,0.73,,,,,
2.933333333,2616,0.79,,,,,
3.233333333,2567.65,0.93,,,,,
3.55,2549.86,0.92,,,,,
3.866666667,2210.07,0.79,,,,,
22.8,35.51,1.06,,,,,
23.11667,40.93,0.92,,,,,
23.416667,40.49,1.1,,,,,
23.75,46.77,0.85,,,,,
24.05,51.85,0.8,,,,,
