,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33
CE1,374.0,288.0,284.0,429.0,385.0,250.0,207.0,218.0,292.0
CE10,380.0,259.0,242.0,434.0,422.0,273.0,241.0,254.0,308.0
CE11,66.0,76.0,60.0,93.0,92.0,60.0,36.0,43.0,71.0
CE12,113.0,91.0,84.0,116.0,97.0,76.0,48.0,40.0,56.0
CE13,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
CE14,31.0,16.0,13.0,26.0,34.0,24.0,11.0,18.0,21.0
CE15,14.0,5.0,9.0,13.0,15.0,9.0,4.0,8.0,8.0
CE2,68.0,37.0,30.0,47.0,49.0,37.0,24.0,16.0,25.0
CE3,19.0,11.0,11.0,21.0,22.0,9.0,10.0,10.0,17.0
CE4,544.0,340.0,292.0,516.0,428.0,368.0,281.0,268.0,318.0
CE6,9.0,14.0,14.0,12.0,16.0,9.0,2.0,10.0,9.0
CE7,32.0,32.0,34.0,36.0,45.0,31.0,28.0,29.0,25.0
CE8,75.0,84.0,73.0,104.0,92.0,75.0,49.0,37.0,54.0
CE9,158.0,85.0,80.0,141.0,124.0,98.0,99.0,99.0,96.0
GH1,196.0,98.0,126.0,134.0,141.0,107.0,72.0,113.0,110.0
GH10,50.0,51.0,51.0,70.0,50.0,45.0,16.0,14.0,20.0
GH101,2.0,1.0,0.0,9.0,2.0,0.0,2.0,5.0,7.0
GH102,6.0,8.0,5.0,15.0,10.0,6.0,2.0,6.0,9.0
GH103,8.0,8.0,6.0,12.0,9.0,5.0,3.0,7.0,7.0
GH105,170.0,153.0,157.0,215.0,186.0,134.0,91.0,107.0,123.0
GH106,76.0,61.0,49.0,91.0,90.0,49.0,27.0,38.0,46.0
GH108,9.0,14.0,9.0,19.0,11.0,15.0,2.0,7.0,12.0
GH109,172.0,110.0,95.0,156.0,164.0,129.0,115.0,115.0,117.0
GH11,2.0,1.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0
GH110,29.0,24.0,21.0,34.0,26.0,24.0,22.0,22.0,28.0
GH112,37.0,20.0,15.0,30.0,32.0,20.0,13.0,19.0,17.0
GH113,5.0,5.0,6.0,5.0,5.0,3.0,1.0,1.0,1.0
GH115,42.0,36.0,34.0,59.0,44.0,28.0,18.0,24.0,20.0
GH116,5.0,5.0,3.0,8.0,4.0,1.0,3.0,3.0,2.0
GH117,5.0,2.0,5.0,9.0,6.0,5.0,6.0,4.0,4.0
GH120,33.0,14.0,16.0,28.0,29.0,17.0,11.0,9.0,10.0
GH123,33.0,21.0,24.0,39.0,28.0,20.0,19.0,27.0,23.0
GH125,37.0,30.0,36.0,43.0,47.0,26.0,25.0,20.0,29.0
GH126,2.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,4.0
GH127,80.0,59.0,63.0,93.0,81.0,64.0,49.0,48.0,54.0
GH128,11.0,10.0,6.0,15.0,20.0,6.0,4.0,3.0,11.0
GH129,9.0,5.0,6.0,14.0,11.0,3.0,3.0,4.0,6.0
GH13,1119.0,801.0,636.0,1057.0,997.0,769.0,513.0,503.0,722.0
GH130,129.0,95.0,83.0,113.0,112.0,92.0,71.0,71.0,83.0
GH133,67.0,60.0,54.0,77.0,81.0,44.0,40.0,37.0,68.0
GH136,14.0,3.0,4.0,12.0,5.0,1.0,4.0,3.0,8.0
GH137,6.0,8.0,6.0,8.0,6.0,5.0,3.0,4.0,5.0
GH138,3.0,2.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0
GH139,4.0,4.0,6.0,7.0,5.0,6.0,2.0,2.0,3.0
GH14,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0
GH140,24.0,23.0,22.0,36.0,28.0,22.0,10.0,13.0,18.0
GH141,14.0,12.0,10.0,35.0,15.0,8.0,6.0,6.0,7.0
GH142,4.0,8.0,12.0,12.0,15.0,10.0,7.0,9.0,6.0
GH143,5.0,6.0,4.0,14.0,11.0,6.0,3.0,5.0,3.0
GH144,10.0,13.0,17.0,18.0,16.0,18.0,16.0,13.0,15.0
GH145,13.0,15.0,10.0,14.0,16.0,9.0,5.0,7.0,12.0
GH146,52.0,31.0,31.0,50.0,43.0,27.0,21.0,19.0,25.0
GH147,6.0,8.0,1.0,6.0,7.0,3.0,3.0,4.0,13.0
GH148,9.0,4.0,2.0,3.0,4.0,5.0,2.0,5.0,3.0
GH149,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH15,2.0,3.0,5.0,11.0,5.0,3.0,2.0,3.0,4.0
GH151,10.0,4.0,10.0,15.0,9.0,5.0,2.0,5.0,2.0
GH154,49.0,42.0,44.0,55.0,53.0,30.0,27.0,35.0,44.0
GH156,3.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
GH158,3.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0
GH159,9.0,4.0,5.0,7.0,2.0,2.0,1.0,3.0,2.0
GH16,84.0,70.0,61.0,106.0,91.0,70.0,45.0,38.0,54.0
GH161,5.0,2.0,3.0,6.0,7.0,3.0,1.0,3.0,3.0
GH163,21.0,20.0,13.0,22.0,21.0,15.0,9.0,11.0,11.0
GH164,4.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0
GH165,5.0,6.0,8.0,4.0,4.0,1.0,3.0,4.0,5.0
GH18,158.0,95.0,78.0,159.0,129.0,107.0,99.0,89.0,86.0
GH19,8.0,3.0,5.0,3.0,6.0,1.0,1.0,0.0,0.0
GH2,583.0,408.0,442.0,717.0,636.0,393.0,295.0,330.0,442.0
GH20,182.0,136.0,155.0,186.0,193.0,134.0,128.0,148.0,169.0
GH23,198.0,174.0,134.0,251.0,225.0,158.0,120.0,116.0,172.0
GH24,67.0,48.0,40.0,57.0,53.0,52.0,35.0,37.0,50.0
GH25,298.0,214.0,182.0,302.0,258.0,239.0,149.0,129.0,153.0
GH26,79.0,55.0,40.0,84.0,55.0,54.0,28.0,26.0,33.0
GH27,33.0,19.0,27.0,46.0,38.0,19.0,20.0,22.0,18.0
GH28,163.0,161.0,143.0,222.0,204.0,135.0,85.0,90.0,134.0
GH29,158.0,112.0,114.0,211.0,144.0,112.0,88.0,105.0,128.0
GH3,1014.0,758.0,679.0,1068.0,862.0,614.0,459.0,464.0,552.0
GH30,82.0,53.0,51.0,97.0,80.0,52.0,35.0,33.0,58.0
GH31,285.0,246.0,208.0,304.0,282.0,161.0,133.0,126.0,156.0
GH32,207.0,145.0,117.0,194.0,189.0,134.0,89.0,100.0,119.0
GH33,82.0,54.0,57.0,83.0,64.0,49.0,59.0,55.0,66.0
GH35,102.0,72.0,70.0,106.0,89.0,66.0,45.0,40.0,70.0
GH36,176.0,125.0,104.0,169.0,143.0,128.0,80.0,76.0,104.0
GH37,14.0,7.0,12.0,16.0,14.0,12.0,11.0,8.0,14.0
GH38,94.0,61.0,66.0,131.0,91.0,49.0,56.0,41.0,73.0
GH39,48.0,20.0,25.0,54.0,57.0,21.0,26.0,27.0,23.0
GH4,86.0,54.0,49.0,94.0,85.0,51.0,55.0,55.0,58.0
GH42,122.0,78.0,69.0,126.0,87.0,78.0,46.0,42.0,49.0
GH43,818.0,599.0,580.0,837.0,699.0,523.0,325.0,345.0,406.0
GH44,3.0,2.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0
GH47,4.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0
GH48,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
GH49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH5,252.0,182.0,151.0,262.0,210.0,178.0,113.0,99.0,126.0
GH50,5.0,7.0,5.0,5.0,7.0,2.0,0.0,2.0,4.0
GH51,148.0,90.0,94.0,150.0,137.0,83.0,52.0,54.0,83.0
GH52,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
GH53,86.0,64.0,47.0,77.0,70.0,43.0,37.0,33.0,43.0
