,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
CE1,337.0,287.0,304.0,474.0,286.0,215.0,128.0,223.0,156.0
CE10,349.0,295.0,340.0,500.0,290.0,170.0,156.0,269.0,152.0
CE11,63.0,73.0,58.0,91.0,61.0,52.0,26.0,63.0,54.0
CE12,108.0,83.0,85.0,174.0,81.0,65.0,27.0,48.0,28.0
CE13,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
CE14,23.0,19.0,20.0,45.0,20.0,15.0,13.0,24.0,16.0
CE15,17.0,7.0,6.0,11.0,9.0,9.0,12.0,8.0,8.0
CE2,43.0,42.0,64.0,91.0,31.0,20.0,10.0,17.0,8.0
CE3,15.0,21.0,11.0,19.0,14.0,9.0,7.0,11.0,14.0
CE4,376.0,343.0,448.0,819.0,280.0,273.0,152.0,264.0,221.0
CE5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CE6,11.0,11.0,9.0,17.0,13.0,7.0,9.0,9.0,7.0
CE7,41.0,26.0,18.0,44.0,39.0,28.0,20.0,26.0,25.0
CE8,73.0,66.0,83.0,164.0,77.0,56.0,19.0,55.0,42.0
CE9,115.0,95.0,128.0,192.0,87.0,61.0,58.0,97.0,64.0
GH1,132.0,84.0,179.0,221.0,121.0,72.0,52.0,90.0,63.0
GH10,51.0,44.0,39.0,97.0,42.0,49.0,11.0,20.0,8.0
GH101,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0
GH102,4.0,6.0,7.0,9.0,6.0,7.0,1.0,11.0,7.0
GH103,5.0,9.0,9.0,9.0,8.0,6.0,2.0,9.0,6.0
GH105,168.0,135.0,160.0,246.0,146.0,119.0,91.0,113.0,71.0
GH106,96.0,50.0,54.0,76.0,44.0,34.0,54.0,38.0,11.0
GH108,15.0,10.0,12.0,17.0,15.0,7.0,4.0,13.0,6.0
GH109,137.0,120.0,121.0,214.0,99.0,94.0,100.0,117.0,82.0
GH11,0.0,1.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0
GH110,34.0,24.0,19.0,35.0,20.0,20.0,23.0,27.0,21.0
GH112,22.0,23.0,32.0,34.0,17.0,13.0,12.0,16.0,7.0
GH113,4.0,3.0,6.0,10.0,3.0,2.0,1.0,1.0,1.0
GH115,44.0,38.0,44.0,67.0,30.0,27.0,20.0,15.0,5.0
GH116,5.0,1.0,7.0,12.0,1.0,3.0,7.0,2.0,1.0
GH117,6.0,5.0,2.0,3.0,4.0,4.0,9.0,6.0,1.0
GH120,22.0,21.0,24.0,36.0,19.0,12.0,13.0,5.0,5.0
GH121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GH123,27.0,24.0,22.0,41.0,21.0,13.0,22.0,25.0,20.0
GH125,38.0,41.0,39.0,65.0,34.0,24.0,23.0,24.0,16.0
GH126,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0
GH127,80.0,68.0,64.0,106.0,62.0,48.0,41.0,45.0,23.0
GH128,10.0,12.0,9.0,17.0,9.0,8.0,1.0,14.0,9.0
GH129,7.0,6.0,6.0,9.0,3.0,5.0,5.0,1.0,1.0
GH13,738.0,827.0,998.0,1541.0,703.0,645.0,258.0,633.0,474.0
GH130,94.0,91.0,112.0,168.0,76.0,64.0,46.0,68.0,46.0
GH133,69.0,71.0,63.0,99.0,58.0,44.0,25.0,57.0,46.0
GH136,4.0,6.0,1.0,13.0,4.0,3.0,14.0,6.0,4.0
GH137,9.0,5.0,3.0,9.0,2.0,4.0,13.0,7.0,0.0
GH138,10.0,3.0,1.0,12.0,4.0,3.0,6.0,4.0,0.0
GH139,8.0,4.0,2.0,9.0,5.0,4.0,5.0,6.0,0.0
GH14,0.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0
GH140,25.0,22.0,23.0,38.0,17.0,11.0,14.0,14.0,7.0
GH141,19.0,20.0,8.0,23.0,11.0,7.0,15.0,13.0,2.0
GH142,15.0,8.0,4.0,15.0,5.0,7.0,6.0,12.0,4.0
GH143,7.0,4.0,3.0,11.0,4.0,5.0,3.0,7.0,2.0
GH144,17.0,11.0,8.0,19.0,10.0,14.0,14.0,12.0,7.0
GH145,12.0,16.0,11.0,19.0,12.0,17.0,2.0,6.0,4.0
GH146,36.0,40.0,32.0,61.0,25.0,28.0,20.0,15.0,7.0
GH147,7.0,7.0,4.0,11.0,5.0,3.0,0.0,7.0,5.0
GH148,2.0,4.0,6.0,6.0,3.0,0.0,1.0,3.0,1.0
GH149,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GH15,5.0,4.0,3.0,17.0,5.0,2.0,4.0,2.0,1.0
GH151,12.0,4.0,6.0,8.0,7.0,4.0,9.0,5.0,3.0
GH154,50.0,42.0,52.0,63.0,36.0,30.0,35.0,35.0,15.0
GH156,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
GH157,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
GH158,3.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0
GH159,9.0,1.0,4.0,9.0,4.0,5.0,4.0,4.0,3.0
GH16,84.0,83.0,76.0,136.0,59.0,51.0,35.0,72.0,44.0
GH161,6.0,3.0,12.0,13.0,3.0,2.0,0.0,1.0,1.0
GH163,24.0,20.0,14.0,22.0,13.0,7.0,12.0,15.0,10.0
GH164,2.0,2.0,0.0,2.0,1.0,1.0,4.0,2.0,3.0
GH165,2.0,4.0,1.0,3.0,2.0,3.0,4.0,5.0,2.0
GH18,109.0,94.0,124.0,220.0,94.0,81.0,44.0,85.0,56.0
GH19,0.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0
GH2,600.0,492.0,493.0,798.0,390.0,312.0,320.0,379.0,209.0
GH20,168.0,156.0,153.0,218.0,133.0,103.0,130.0,162.0,136.0
GH23,160.0,173.0,167.0,275.0,151.0,147.0,68.0,154.0,114.0
GH24,57.0,53.0,43.0,78.0,41.0,38.0,16.0,36.0,26.0
GH25,201.0,224.0,307.0,523.0,213.0,184.0,62.0,151.0,91.0
GH26,62.0,57.0,60.0,122.0,41.0,51.0,13.0,39.0,20.0
GH27,30.0,30.0,31.0,59.0,26.0,21.0,15.0,20.0,12.0
GH28,183.0,147.0,154.0,278.0,149.0,135.0,72.0,125.0,68.0
GH29,149.0,154.0,130.0,223.0,116.0,78.0,122.0,106.0,74.0
GH3,760.0,672.0,939.0,1239.0,637.0,560.0,283.0,476.0,335.0
GH30,76.0,72.0,61.0,121.0,63.0,43.0,31.0,45.0,24.0
GH31,229.0,227.0,248.0,411.0,200.0,161.0,105.0,122.0,82.0
GH32,145.0,128.0,197.0,266.0,117.0,114.0,52.0,102.0,67.0
GH33,77.0,61.0,57.0,96.0,56.0,36.0,51.0,79.0,42.0
GH35,72.0,81.0,87.0,114.0,66.0,47.0,42.0,44.0,25.0
GH36,140.0,127.0,160.0,245.0,102.0,93.0,59.0,68.0,46.0
GH37,15.0,14.0,9.0,16.0,4.0,4.0,8.0,8.0,5.0
GH38,74.0,64.0,71.0,116.0,63.0,39.0,40.0,40.0,35.0
GH39,37.0,41.0,41.0,58.0,25.0,23.0,7.0,12.0,7.0
GH4,68.0,51.0,77.0,105.0,58.0,46.0,55.0,45.0,39.0
GH42,82.0,74.0,102.0,147.0,58.0,56.0,41.0,30.0,22.0
GH43,624.0,627.0,683.0,1010.0,516.0,457.0,248.0,293.0,183.0
GH44,3.0,2.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0
GH47,0.0,7.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
GH48,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
GH49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GH5,196.0,212.0,188.0,417.0,148.0,144.0,64.0,108.0,70.0
GH50,6.0,2.0,3.0,7.0,3.0,5.0,6.0,8.0,1.0
GH51,139.0,116.0,113.0,175.0,89.0,74.0,46.0,47.0,30.0
GH52,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
GH53,52.0,61.0,63.0,127.0,54.0,45.0,4.0,43.0,27.0
GH55,9.0,8.0,8.0,15.0,10.0,7.0,6.0,4.0,0.0
GH57,53.0,61.0,43.0,88.0,60.0,43.0,22.0,56.0,51.0
GH59,4.0,6.0,8.0,18.0,2.0,3.0,1.0,0.0,0.0
GH63,15.0,9.0,10.0,14.0,6.0,10.0,9.0,2.0,4.0
GH64,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
GH65,25.0,20.0,24.0,50.0,29.0,30.0,18.0,26.0,13.0
GH66,7.0,8.0,7.0,12.0,7.0,7.0,5.0,8.0,3.0
GH67,18.0,15.0,10.0,23.0,17.0,18.0,7.0,5.0,3.0
GH68,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GH70,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
GH73,115.0,100.0,88.0,170.0,101.0,82.0,54.0,69.0,67.0
GH74,3.0,5.0,5.0,9.0,3.0,5.0,2.0,0.0,0.0
GH76,33.0,27.0,21.0,52.0,20.0,13.0,19.0,16.0,7.0
GH77,168.0,152.0,195.0,290.0,162.0,119.0,44.0,135.0,91.0
GH78,214.0,184.0,252.0,288.0,154.0,97.0,109.0,102.0,51.0
GH79,15.0,10.0,16.0,31.0,16.0,8.0,6.0,21.0,8.0
GH8,13.0,18.0,20.0,27.0,9.0,15.0,5.0,4.0,3.0
GH81,4.0,2.0,3.0,9.0,9.0,2.0,0.0,2.0,2.0
GH84,21.0,25.0,21.0,34.0,19.0,15.0,20.0,29.0,26.0
GH85,19.0,15.0,16.0,28.0,13.0,10.0,3.0,15.0,11.0
GH87,2.0,2.0,2.0,7.0,5.0,2.0,0.0,4.0,1.0
GH88,115.0,69.0,82.0,142.0,68.0,59.0,93.0,84.0,56.0
GH89,40.0,38.0,31.0,48.0,31.0,20.0,25.0,34.0,29.0
GH9,26.0,42.0,37.0,61.0,25.0,30.0,18.0,11.0,10.0
GH91,6.0,2.0,2.0,6.0,5.0,3.0,1.0,3.0,0.0
GH92,179.0,144.0,108.0,212.0,104.0,123.0,127.0,136.0,105.0
GH93,10.0,7.0,11.0,15.0,6.0,6.0,6.0,4.0,1.0
GH94,66.0,61.0,75.0,120.0,52.0,40.0,13.0,35.0,18.0
GH95,116.0,107.0,94.0,157.0,71.0,67.0,69.0,76.0,30.0
GH97,158.0,154.0,100.0,192.0,116.0,129.0,72.0,118.0,77.0
GH98,5.0,8.0,5.0,7.0,5.0,2.0,4.0,2.0,0.0
GH99,6.0,8.0,3.0,7.0,2.0,3.0,4.0,4.0,1.0
GT1,8.0,4.0,6.0,15.0,4.0,5.0,4.0,9.0,3.0
GT10,13.0,15.0,10.0,24.0,9.0,7.0,7.0,16.0,5.0
GT101,9.0,29.0,101.0,51.0,66.0,57.0,3.0,7.0,9.0
GT102,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
GT103,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
GT104,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
GT107,2.0,4.0,4.0,4.0,2.0,5.0,0.0,5.0,3.0
GT11,37.0,54.0,66.0,107.0,37.0,37.0,11.0,27.0,17.0
GT12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GT14,29.0,28.0,27.0,37.0,18.0,19.0,13.0,22.0,12.0
