Protein,Count,Domain,Phylum,Class,Order,Family,Genus,Species
Exo1,1,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo17,2,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo6,2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
Exo42,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron
Exo7,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
Exo2,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unclassified,Unclassified
Exo3,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Unclassified
Exo4,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,sp. H5
Exo9,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,distasonis
Exo30,1,Bacteria,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
