"","Substrate","Antibiotics","Season","BinTime","Mean","Median","SD","SE","iqr"
"1","Inulin","No","Summer",-0.34,-20.4014285714286,-20.25,1.51897365098311,0.574118075508732,2.145
"2","Inulin","No","Summer",-0.01,81.7016666666667,56.59,87.4955672972446,35.719915772266,121.8475
"3","Inulin","No","Summer",0.32,475.918333333333,323.705,390.940387599781,159.60074491089,41.5525
"4","Inulin","No","Summer",0.65,326.028333333333,355.85,103.060932155044,42.074449365909,76.21
"5","Inulin","No","Summer",0.98,309.23,328.98,71.0434310826835,26.8518929899338,90.66
"6","Inulin","No","Summer",1.31,267.51,281.46,74.5690018260492,28.1844334780068,133.645
"7","Inulin","No","Summer",1.64,302.415714285714,315.8,112.053672534957,42.3523072884236,140.575
"8","Inulin","No","Summer",1.97,428.4025,277.46,415.049870286692,207.524935143346,235.7625
"9","Inulin","No","Summer",2.3,790.525714285714,637.81,574.257387265128,217.04889074932,616.84
"10","Inulin","No","Summer",2.63,1242.88142857143,1254.11,863.362590503522,326.320386535545,923.445
"11","Inulin","No","Summer",2.96,1665.38142857143,1805.2,1010.94640765355,382.101826209346,1218.145
"12","Inulin","No","Summer",3.29,1778.06166666667,1504.74,933.350695556963,381.038825864388,1340.7625
"13","Inulin","No","Summer",3.62,1904.49285714286,1968.83,819.598766200354,309.77921574593,1038.23
"14","Inulin","No","Summer",3.95,2040.29166666667,1784.44,831.022455976171,339.263496989353,758.195
"15","Inulin","No","Summer",4.28,2003.81166666667,1933.315,455.072678785122,185.782643150837,358.4525
"16","Inulin","No","Winter",-0.34,-25.6275,-25.33,1.45808827873055,0.515512054729498,1.07
"17","Inulin","No","Winter",-0.01,60.345,71.98,48.1236527084136,19.6463989490865,53.8225
"18","Inulin","No","Winter",0.32,109.2675,131.105,71.7789723984081,25.3776990647582,84.5525
"19","Inulin","No","Winter",0.65,179.917,205.535,115.025773155411,36.3743432792951,126.68
"20","Inulin","No","Winter",0.98,266.615555555556,301.24,176.478936782206,58.8263122607353,208.25
"21","Inulin","No","Winter",1.31,318.221111111111,347.01,280.408636789438,93.4695455964794,495.2
"22","Inulin","No","Winter",1.64,486.56,458.52,323.391586354686,107.797195451562,497.23
"23","Inulin","No","Winter",1.97,517.01375,523.97,409.015995388846,144.608991976609,691.475
"24","Inulin","No","Winter",2.3,527.09,582.75,459.258287949167,153.086095983056,766.44
"25","Inulin","No","Winter",2.63,616.265,646.26,506.543760653651,179.090264062966,914.8325
"26","Inulin","No","Winter",2.96,747.19875,837.84,432.639167946074,152.961044730787,391.6925
"27","Inulin","No","Winter",3.29,721.43625,800.695,445.40440590346,157.474237892351,460.02
