"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
979271	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"NA"
44501	"Bacteria"	"Bacteroidetes"	"NA"	"NA"	"NA"	"NA"	"NA"
12887	"Bacteria"	"Proteobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1488	"Bacteria"	"Verrucomicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
861	"Bacteria"	"Actinobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1527	"Bacteria"	"Spirochaetes"	"NA"	"NA"	"NA"	"NA"	"NA"
1997	"Bacteria"	"Tenericutes"	"NA"	"NA"	"NA"	"NA"	"NA"
10443	"Eukaryota"	"Preaxostyla"	"NA"	"NA"	"NA"	"NA"	"NA"
9875	"Bacteria"	"Candidatus Melainabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
152	"Bacteria"	"Fusobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
2502	"Bacteria"	"Chloroflexi"	"NA"	"NA"	"NA"	"NA"	"NA"
31	"Bacteria"	"Fibrobacteres"	"NA"	"NA"	"NA"	"NA"	"NA"
80	"Bacteria"	"Synergistetes"	"NA"	"NA"	"NA"	"NA"	"NA"
329	"Archaea"	"Euryarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
1894	"Bacteria"	"Planctomycetes"	"NA"	"NA"	"NA"	"NA"	"NA"
2446	"Bacteria"	"Cyanobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1653	"Bacteria"	"Acidobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
254	"Eukaryota"	"Ascomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
114	"Bacteria"	"Chlamydiae"	"NA"	"NA"	"NA"	"NA"	"NA"
578	"Bacteria"	"Ignavibacteriae"	"NA"	"NA"	"NA"	"NA"	"NA"
5	"Eukaryota"	"Chytridiomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
1337	"Eukaryota"	"Parabasalia"	"NA"	"NA"	"NA"	"NA"	"NA"
594	"Bacteria"	"Nitrospirae"	"NA"	"NA"	"NA"	"NA"	"NA"
640	"Bacteria"	"Elusimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
49	"Bacteria"	"Thermotogae"	"NA"	"NA"	"NA"	"NA"	"NA"
554	"Bacteria"	"Lentisphaerae"	"NA"	"NA"	"NA"	"NA"	"NA"
80	"Eukaryota"	"Mucoromycota"	"NA"	"NA"	"NA"	"NA"	"NA"
47	"Eukaryota"	"Chlorophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
4	"Eukaryota"	"Apicomplexa"	"NA"	"NA"	"NA"	"NA"	"NA"
756	"Eukaryota"	"Fornicata"	"NA"	"NA"	"NA"	"NA"	"NA"
471	"Eukaryota"	"Evosea"	"NA"	"NA"	"NA"	"NA"	"NA"
41	"Eukaryota"	"Basidiomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
399	"Bacteria"	"Gemmatimonadetes"	"NA"	"NA"	"NA"	"NA"	"NA"
99	"Bacteria"	"Chlorobi"	"NA"	"NA"	"NA"	"NA"	"NA"
581	"Bacteria"	"Candidatus Omnitrophica"	"NA"	"NA"	"NA"	"NA"	"NA"
10	"Bacteria"	"Deinococcus-Thermus"	"NA"	"NA"	"NA"	"NA"	"NA"
347	"Bacteria"	"Calditrichaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
1	"Eukaryota"	"Ciliophora"	"NA"	"NA"	"NA"	"NA"	"NA"
386	"Bacteria"	"Candidatus Marinimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
385	"Bacteria"	"Candidatus Saccharibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
380	"Eukaryota"	"Microsporidia"	"NA"	"NA"	"NA"	"NA"	"NA"
67	"Bacteria"	"Kiritimatiellaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
286	"Bacteria"	"Candidatus Peregrinibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
47	"Bacteria"	"Aquificae"	"NA"	"NA"	"NA"	"NA"	"NA"
347	"Bacteria"	"Candidatus Cloacimonetes"	"NA"	"NA"	"NA"	"NA"	"NA"
36	"Bacteria"	"Balneolaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
6	"Eukaryota"	"Rhodophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
233	"Bacteria"	"Armatimonadetes"	"NA"	"NA"	"NA"	"NA"	"NA"
259	"Bacteria"	"candidate division Zixibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
36	"Bacteria"	"Candidatus Margulisbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
3	"Eukaryota"	"Euglenozoa"	"NA"	"NA"	"NA"	"NA"	"NA"
247	"Bacteria"	"Candidatus Parcubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
6	"Bacteria"	"Thermodesulfobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
7	"Eukaryota"	"Bacillariophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
163	"Bacteria"	"Candidatus Nomurabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
158	"Bacteria"	"Candidatus Rokubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
85	"Bacteria"	"Rhodothermaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
97	"Bacteria"	"Nitrospinae"	"NA"	"NA"	"NA"	"NA"	"NA"
139	"Bacteria"	"Candidatus Latescibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
131	"Bacteria"	"Candidatus Magasanikbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
130	"Bacteria"	"Candidatus Aminicenantes"	"NA"	"NA"	"NA"	"NA"	"NA"
128	"Bacteria"	"Candidatus Taylorbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
126	"Bacteria"	"Candidatus Zambryskibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
120	"Bacteria"	"Candidatus Falkowbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
119	"Bacteria"	"Candidatus Harrisonbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
116	"Bacteria"	"Candidatus Poribacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
115	"Bacteria"	"Candidatus Atribacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
109	"Bacteria"	"Candidatus Dadabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
109	"Bacteria"	"Candidatus Moranbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
101	"Bacteria"	"Candidatus Kaiserbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
97	"Eukaryota"	"Heterolobosea"	"NA"	"NA"	"NA"	"NA"	"NA"
96	"Archaea"	"Candidatus Bathyarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
60	"Bacteria"	"Caldiserica"	"NA"	"NA"	"NA"	"NA"	"NA"
93	"Bacteria"	"Candidatus Wolfebacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
92	"Bacteria"	"Candidatus Hydrothermae"	"NA"	"NA"	"NA"	"NA"	"NA"
92	"Bacteria"	"Candidatus Firestonebacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
92	"Bacteria"	"Candidatus Kryptonia"	"NA"	"NA"	"NA"	"NA"	"NA"
91	"Bacteria"	"candidate division WOR-3"	"NA"	"NA"	"NA"	"NA"	"NA"
88	"Bacteria"	"Candidatus Kerfeldbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
87	"Bacteria"	"Candidatus Staskawiczbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
86	"Bacteria"	"Candidatus Roizmanbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
84	"Bacteria"	"Candidatus Uhrbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
61	"Bacteria"	"Candidatus Riflebacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
79	"Archaea"	"Thaumarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
80	"Bacteria"	"Candidatus Hydrogenedentes"	"NA"	"NA"	"NA"	"NA"	"NA"
80	"Bacteria"	"candidate division WWE3"	"NA"	"NA"	"NA"	"NA"	"NA"
77	"Bacteria"	"Candidatus Aerophobetes"	"NA"	"NA"	"NA"	"NA"	"NA"
77	"Bacteria"	"Candidatus Shapirobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
75	"Bacteria"	"Candidatus Doudnabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
75	"Bacteria"	"Candidatus Nealsonbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
74	"Bacteria"	"Candidatus Wallbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
68	"Archaea"	"Candidatus Heimdallarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
67	"Archaea"	"Candidatus Thorarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
66	"Bacteria"	"Candidatus Pacebacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
64	"Bacteria"	"Candidatus Bipolaricaulota"	"NA"	"NA"	"NA"	"NA"	"NA"
61	"Archaea"	"Candidatus Woesearchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
59	"Bacteria"	"Candidatus Tectomicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
57	"Bacteria"	"Candidatus Schekmanbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
56	"Bacteria"	"candidate division NC10"	"NA"	"NA"	"NA"	"NA"	"NA"
55	"Bacteria"	"Candidatus Goldbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
39	"Bacteria"	"Candidatus Fermentibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
53	"Bacteria"	"Candidatus Woesebacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
49	"Eukaryota"	"Discosea"	"NA"	"NA"	"NA"	"NA"	"NA"
48	"Bacteria"	"Candidatus Giovannonibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
47	"Archaea"	"Candidatus Lokiarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
46	"Bacteria"	"Candidatus Sumerlaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
46	"Archaea"	"Candidatus Micrarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
44	"Eukaryota"	"Endomyxa"	"NA"	"NA"	"NA"	"NA"	"NA"
45	"Bacteria"	"Candidatus Eisenbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
44	"Bacteria"	"Candidatus Gracilibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
44	"Bacteria"	"Candidatus Raymondbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
43	"Eukaryota"	"Cryptomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
38	"Bacteria"	"Candidatus Daviesbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
38	"Bacteria"	"Candidatus Gottesmanbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
37	"Bacteria"	"Candidatus Berkelbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
33	"Bacteria"	"Candidatus Buchananbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
32	"Bacteria"	"Candidatus Kapabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
32	"Bacteria"	"Candidatus Lloydbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
32	"Bacteria"	"Candidatus Abyssubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
31	"Bacteria"	"Candidatus Eremiobacteraeota"	"NA"	"NA"	"NA"	"NA"	"NA"
31	"Bacteria"	"Candidatus Yanofskybacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
31	"Bacteria"	"Candidatus Ryanbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
29	"Eukaryota"	"Perkinsozoa"	"NA"	"NA"	"NA"	"NA"	"NA"
28	"Eukaryota"	"Foraminifera"	"NA"	"NA"	"NA"	"NA"	"NA"
28	"Bacteria"	"candidate division CPR2"	"NA"	"NA"	"NA"	"NA"	"NA"
27	"Bacteria"	"Candidatus Desantisbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
27	"Archaea"	"Candidatus Altiarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
