"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
25522149	"unclassified"	NA	NA	NA	NA	NA	NA
2857	"Viruses"	NA	NA	NA	NA	NA	NA
606351	"Bacteria"	"Firmicutes"	NA	NA	NA	NA	NA
18905	"Bacteria"	"Firmicutes"	"Clostridia"	NA	NA	NA	NA
926	"Bacteria"	"Firmicutes"	"Bacilli"	NA	NA	NA	NA
393	"Bacteria"	"Firmicutes"	"Negativicutes"	NA	NA	NA	NA
165	"Bacteria"	"Firmicutes"	"Tissierellia"	NA	NA	NA	NA
1811703	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
983	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	NA	NA	NA
1769	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	NA	NA	NA
1	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	NA	NA	NA
99	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	NA	NA	NA
31	"Bacteria"	"Firmicutes"	"Tissierellia"	"Tissierellales"	NA	NA	NA
291	"Bacteria"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	NA	NA	NA
5	"Bacteria"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	NA	NA	NA
437777	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
81779	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
91799	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	NA	NA
36201	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Oscillospiraceae"	NA	NA
14638	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	NA	NA
3253	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	NA	NA
5652	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	NA	NA
1946	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	NA	NA
787	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	NA	NA
2105	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	NA	NA
395	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XIII. Incertae Sedis"	NA	NA
1152	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	NA	NA
86	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	NA	NA
428	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	NA	NA
84	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Hungateiclostridiaceae"	NA	NA
681	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	NA	NA
158	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	NA	NA
8	"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	NA	NA
166	"Bacteria"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	NA	NA
1818	"Bacteria"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Tissierellaceae"	NA	NA
747	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	NA	NA
31	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	NA	NA
30	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	NA	NA
79	"Bacteria"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	NA	NA
