,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;,8.129907,7.593779,6.236796,5.581956,5.356340,18.632828,1.892305,1.893734,1.708535,6.664935,5.295609,6.594495,7.884640,6.740695,8.899391,1.190737,1.028782,1.377348
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;,3.084523,1.758074,2.783833,3.074957,6.276309,0.687868,0.447587,1.020306,0.967804,3.726131,4.986862,4.523802,1.296199,2.336220,3.243020,0.833132,1.397352,0.921998
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,2.837594,1.704344,1.856894,2.233303,4.178176,2.765612,2.147981,1.530290,1.552683,2.686784,1.856192,3.321677,2.597163,2.097074,1.245446,1.899990,1.721146,1.792265
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,2.760267,3.387190,5.495553,5.709734,3.642417,3.690353,3.859635,14.064695,2.636348,7.686131,3.463734,2.721042,2.369794,3.302298,11.807914,45.362289,10.890951,3.183824
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;,1.890467,1.956982,1.728714,2.944943,1.488985,1.926729,1.163093,1.268328,0.988355,1.986939,1.793128,1.886559,2.512703,2.005370,2.319974,3.614031,0.979287,1.206769
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;,1.598085,1.865469,1.059874,1.867102,2.033358,0.511980,1.160784,2.209691,1.876270,2.503221,2.406784,0.887056,0.955415,2.747690,0.886116,0.324832,3.013185,1.361370
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;NA;,1.357535,1.476042,3.090956,1.583584,3.530235,2.462808,2.112076,2.721959,11.239595,1.466640,0.975274,2.436574,1.664459,2.365152,1.359919,0.626588,3.037094,12.768689
Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;NA;NA;,0.743910,0.337193,0.972841,0.338345,0.559751,1.066750,0.587249,0.933722,0.294915,0.654725,0.308248,0.959731,0.521800,0.291803,0.307999,0.081309,0.476007,0.298040
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;,0.692824,0.602620,0.492985,1.334291,0.599713,0.812937,0.289981,0.209348,0.718538,0.425582,1.283309,0.629018,1.490281,0.484618,0.447081,0.047695,0.129329,0.458106
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;NA;NA;,0.558003,1.157838,0.162610,1.117149,0.344769,0.541519,13.147788,0.374409,16.474667,0.013416,0.545470,0.645435,0.730390,2.037824,1.248037,0.025866,4.560277,11.860491
