,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;,19.616669,15.762178,15.366286,16.251961,15.564007,29.731131,9.186884,8.888447,7.857557,15.844382,13.685881,17.789927,19.800793,15.958025,17.522263,9.216386,6.770028,7.894829
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;,12.475471,12.299945,16.893967,16.674006,21.307274,9.170721,30.196875,30.463484,20.831972,21.449612,17.192801,13.505549,9.163713,16.387184,20.686142,66.155029,30.865574,31.368404
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;NA;NA;NA;,0.562807,1.162101,0.184544,1.127592,0.346304,0.543104,13.158255,0.394191,16.486750,0.017274,0.550494,0.647490,0.733125,2.040907,1.250048,0.027176,4.568194,11.871922
Bacteria;Firmicutes;Bacilli;Lactobacillales;NA;NA;NA;,0.367980,0.172919,0.351121,0.755737,0.201061,0.204949,0.067345,0.106147,0.069383,0.468668,0.750670,0.149848,1.151800,0.352489,0.483742,0.034254,0.055225,0.073826
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;NA;NA;NA;,0.159082,0.298787,0.227140,0.322449,0.315019,0.425289,0.221768,0.226637,0.709576,0.146516,0.224559,0.275778,0.054054,0.172831,0.335998,0.252408,0.994058,0.104477
Bacteria;Firmicutes;Bacilli;Bacillales;NA;NA;NA;,0.151688,0.157624,0.141080,0.162688,0.130449,0.151452,0.106371,0.110872,0.118923,0.158586,0.124637,0.155770,0.173755,0.135136,0.155098,0.036461,0.091580,0.086655
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;NA;NA;NA;,0.131994,0.177969,0.315605,0.265633,0.118055,0.023074,0.010801,0.195374,0.037069,0.285753,0.126409,0.205074,0.062597,0.422273,0.299473,0.009535,0.753149,0.085992
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;NA;NA;NA;,0.116797,0.119789,0.172046,0.144085,0.089911,0.106879,0.099353,0.154807,0.130586,0.109072,0.157456,0.135796,0.176990,0.159465,0.112057,0.075315,0.095485,0.200455
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NA;NA;NA;,0.074953,0.098949,0.085281,0.093286,0.113599,0.080940,0.057562,0.222033,0.101433,0.087816,0.088080,0.201596,0.060295,0.099005,0.049692,0.053680,0.168950,0.113049
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;NA;,0.068204,0.037463,0.039768,0.038120,0.046280,0.143381,0.032915,0.039288,0.047695,0.051059,0.050066,0.061602,0.057609,0.045787,0.058744,0.015150,0.033166,0.045798
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;NA;NA;NA;,0.054821,0.069319,0.043648,0.060151,0.072333,0.027744,0.043118,0.058914,0.068474,0.061536,0.070204,0.052124,0.039417,0.077588,0.026741,0.037626,0.133941,0.082304
Bacteria;Firmicutes;Negativicutes;Selenomonadales;NA;NA;NA;,0.053856,0.061061,0.044861,0.044878,0.055389,0.081097,0.028945,0.031904,0.030200,0.043427,0.038469,0.049085,0.053829,0.040044,0.060307,0.010463,0.024747,0.021181
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;NA;NA;NA;,0.052127,0.050865,0.039317,0.042658,0.034321,0.046095,0.036500,0.043803,0.043334,0.040339,0.038444,0.062177,0.057711,0.040295,0.038010,0.006935,0.039615,0.026174
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;NA;NA;NA;,0.042249,0.035520,0.042220,0.046712,0.032051,0.035220,0.152342,0.063771,0.065094,0.037147,0.037633,0.038322,0.057537,0.046223,0.037495,0.023910,0.065965,0.038937
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;,0.041804,0.054694,0.042562,0.059289,0.054911,0.023835,0.033423,0.052331,0.058843,0.045768,0.048426,0.046536,0.031547,0.057122,0.024606,0.027913,0.092071,0.061211
