,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;,47.264874,44.415051,44.623653,46.256985,38.232086,55.886734,83.920189,65.875366,45.526840,49.755199,35.854702,34.043633,42.995392,40.467495,48.211731,93.024994,74.214485,70.659431
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;,1.199616,0.029394,1.732378,3.044693,1.906837,0.298063,0.469484,0.259644,0.695825,0.530396,2.478632,0.380517,1.658986,2.593134,0,0.074599,0,1.377295
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;NA;NA;NA;,0.431862,0.029394,0,0,0.054481,0.447094,0,0,0.099404,0,0.555556,2.968037,0,0.803506,2.110157,0,0,0.041736
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;NA;NA;NA;,0.335893,0.029394,0.059737,0.027933,0.122582,0.074516,0.046948,0,0,0.020400,0.427350,1.750381,0,0.401753,0.965665,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;NA;NA;NA;,0.191939,0.323339,0.836320,0.083799,0.599292,0.149031,0.023474,0,0.099404,0.142799,0.042735,0.050736,0.092166,1.205259,0.071531,0,0.034153,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;NA;,0.143954,0,0,0.195531,0.013620,0,0.023474,0.037092,0.198807,0.081599,0.042735,0.025368,0.184332,0,0,0,0.478142,0.542571
Bacteria;Firmicutes;Bacilli;Lactobacillales;NA;NA;NA;,0.095969,0,0,0.027933,0,0,0,0,0,0,0.042735,0,0,0,0,0,0,0.083472
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;NA;NA;NA;,0.047985,0.088183,0.179211,0.027933,0.108962,0.149031,0,0,0,0,0.085470,0.329782,0,0.109569,0.143062,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) order,4.942418,4.732511,6.869773,3.575419,3.772814,8.345753,1.502347,1.446587,10.337972,13.749491,3.888889,2.257737,3.686636,5.843681,2.056509,0.811264,0.819672,0.166945
unclassified,45.345488,49.441504,44.265231,45.391062,52.846634,33.904621,13.943662,32.232937,42.942345,35.454917,55.982906,57.787925,50.737327,48.210374,45.994279,6.070496,24.385247,24.582638
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;NA;NA;NA;,0,0.382128,0.955794,0.502793,0.749115,0.521610,0,0,0,0.061200,0.085470,0.076104,0.046083,0.109569,0.071531,0,0.034153,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NA;NA;NA;,0,0.293945,0.418160,0.195531,0.435849,0.223547,0,0.037092,0,0.040800,0,0,0,0,0.107296,0,0,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;,0,0.176367,0.059737,0.558659,0.367747,0,0,0,0.099404,0.101999,0.128205,0.076104,0.414747,0.182615,0.053648,0.009325,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;NA;NA;NA;,0,0.029394,0,0.111732,0.776355,0,0.046948,0.074184,0,0,0,0,0.046083,0,0,0,0,0
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;NA;NA;NA;,0,0.029394,0,0,0,0,0,0,0,0.020400,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;NA;NA;NA;,0,0,0,0,0.013620,0,0,0,0,0,0,0,0,0,0.017883,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;NA;,0,0,0,0,0,0,0.023474,0,0,0.020400,0.042735,0,0.092166,0,0,0,0,0
Bacteria;Bacteroidetes;Saprospiria;Saprospirales;NA;NA;NA;,0,0,0,0,0,0,0,0.037092,0,0.020400,0,0,0.046083,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0.299145,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0.042735,0.228310,0,0.036523,0.178827,0,0,0
Eukaryota;Chytridiomycota;Neocallimastigomycetes;Neocallimastigales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0.025368,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036523,0,0.009325,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017883,0,0,0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034153,0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.545910
