,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;Bacteroidales bacterium;,5.422265,1.410935,1.314217,2.905028,1.552710,0.521610,0.892019,1.891691,3.081511,1.448388,2.948718,0.684932,2.995392,0.730460,0.947783,0,1.844262,1.377295
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-013 (NCI);,2.255278,1.440329,0.358423,1.843575,0.980659,0.149031,0.915493,2.522255,2.385686,1.285190,1.367521,0.684932,1.981567,2.337473,0.500715,0,2.219945,1.794658
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. ne3005;,1.391555,1.087595,1.075269,0.977654,0.844457,0.596125,0.023474,0.074184,0.596421,0.509996,0.726496,1.927955,1.244240,0.766983,1.609442,0,0.785519,0.542571
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Candidatus Amulumruptor;Candidatus Amulumruptor caecigallinarius;,1.199616,1.381540,0.716846,1.229050,1.253065,0.372578,0.798122,1.409495,1.888668,1.835985,0.726496,0.329782,2.119816,1.387874,0.500715,0,1.468579,0.584307
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides heparinolyticus;,1.007678,0.940623,1.911589,1.312849,0.939798,0.968703,0.117371,0.111276,0.298211,2.549980,1.282051,2.739726,0.230415,1.059167,2.360515,0,0.239071,0.041736
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides timonensis;,0.719770,0.205761,0,0.837989,0.054481,0.149031,0.093897,0,0.894632,0.244798,0.384615,0.101471,0.506912,0,2.181688,0,0.512295,0.292154
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-002 (NCI);,0.527831,6.349207,0.238949,1.815642,2.710433,0,0.258216,1.594955,0.795229,0.632395,1.282051,0.177575,2.949309,4.127100,0.125179,0,0.307377,0.041736
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens;,0.479846,0.029394,0,0.502793,0.108962,0.372578,0.821596,2.410979,0.099404,0.285598,0.341880,0.050736,0,0,0,12.691159,2.288251,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;Bacteroidales bacterium 52_46;,0.479846,3.938859,0.358423,1.201117,1.811495,0.074516,0.258216,2.818991,3.379722,2.060384,0.427350,0.228310,2.165899,2.483565,0.160944,0,0.614754,0.041736
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;Kocuria polaris;,0.431862,0,0,0,0,0,0,0,0,0,0.170940,0.938610,0,0.401753,0.697425,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-080 (Janvier);,0.431862,0.264550,0.119474,0.614525,0,0.074516,0.023474,0.408012,0.795229,0.407997,0.341880,0.025368,0.276498,0.219138,0.178827,0,0.136612,0
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus aquatilis;,0.335893,0.029394,0.059737,0.027933,0.122582,0.074516,0,0,0,0.020400,0.427350,1.750381,0,0.401753,0.965665,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. Marseille-P4119;,0.335893,0.470312,1.612903,0.167598,0.953419,0.074516,0.070423,0.037092,0,0.203998,0,0,0,0.146092,0.160944,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;Prevotellaceae bacterium LKV-178-WT-2A;,0.335893,0.088183,0.119474,0,0.013620,0.074516,0.070423,0,0,0,0.085470,0,0.046083,0.036523,0,0,0.068306,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;Pseudoclostridium;Pseudoclostridium thermosuccinogenes;,0.287908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale;,0.287908,0,0,0.251397,0,0,0.070423,0.704748,0.198807,0.285598,0.299145,0.076104,0.322581,0.109569,0.071531,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;,0.287908,0,0,0.195531,0.054481,0,0,0,0,0.020400,0.598291,0,0,0.109569,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus;,0.239923,0.382128,0.238949,0.167598,0.326886,0.223547,0,0.556380,0.198807,0.346797,0.128205,0,0,0.036523,0.035765,0.065274,0.170765,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. AF17-3;,0.239923,0,0,0.055866,0,0,0,0,0,0,0.256410,0.025368,0.322581,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;Pseudoflavonifractor sp. 60;,0.239923,0,0,0,0.027241,0,0,0,0,0,0,0.101471,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum sp. TLL-A4;,0.239923,0.176367,0,0.027933,0.054481,0.223547,0.023474,0,0.497018,0.285598,0.042735,0,0,0.365230,0.017883,0,0.034153,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus;Halobacillus trueperi;,0.191939,0.029394,0,0.027933,0.040861,0,0,0,0,0,0,0,0,0,0.017883,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides intestinalis;,0.191939,0.117578,0.597372,0.195531,0.108962,0.670641,0.070423,0.074184,0.298211,1.019992,0.170940,0.152207,0.138249,0.182615,0,0.027975,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:386;,0.191939,0,0,0.083799,0.027241,0.074516,0,0,0,0,0.042735,0,0.138249,0.109569,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides provencensis;,0.191939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;NA;NA;NA;NA;NA;bacterium D16-29;,0.191939,0,0,0,0,0,0,0,0,0,0.042735,0.025368,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella sp. WM24;,0.191939,1.263962,0.059737,0.335196,1.035140,0,0.610329,1.112760,0.994036,0.265198,0.341880,0.076104,0.829493,0.949598,0.160944,0,0.751366,0.250417
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus;,0.143954,0,0.059737,0,0.013620,0,0,0,0,0,0,0,0,0,0.017883,0.018650,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii;,0.143954,0,0,0.139665,0,0.149031,0.093897,0.296736,0,0.020400,0.085470,0,0,0,0,1.781052,0.273224,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium 10-1;,0.143954,0,0,0,0.013620,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. tc2-28;,0.143954,0.529101,1.254480,0.418994,0.898938,0.447094,0,0,0.099404,0.101999,0.128205,0.659564,0,0.219138,0.661660,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum sp. H5;,0.143954,0,0,0.055866,0.027241,0,0,0.037092,0.099404,0,0,0.076104,0,0,0.035765,0,0.068306,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis;,0.095969,0,0.597372,0,0.858077,0,0,2.188427,0.198807,0.713994,0,0,0.414747,0,0,0.018650,0,8.848080
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae;,0.095969,0,0,0,0.027241,0,0,0,0,0,0.042735,0.025368,0.138249,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides pyogenes;,0.095969,0,0,0,0,0,0,0,0,0,0,0,0,0.109569,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium MD308;,0.095969,0,0,0.111732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. MA2016;,0.095969,0.529101,1.612903,0.391061,1.035140,0.447094,0,0,0.099404,0.101999,0.042735,2.181634,0,0.986121,1.412732,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. 44_46;,0.095969,0.088183,0.238949,0.139665,0.190684,0,0,0.556380,0,0,0,0,0.046083,0,0,0,0,0
Bacteria;NA;NA;NA;NA;NA;bacterium 1XD8-76;,0.095969,0,0.119474,0.055866,0,0,0,0,0,0.040800,0.085470,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron;,0.047985,0,0,0.111732,0.013620,0,0.117371,0.593472,0.099404,0.489596,0,0,0,0,0,1.725103,0.239071,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis;,0.047985,0.323339,0.418160,0.335196,0.122582,0.670641,0.093897,0.111276,0,1.387189,0.085470,0.431253,0.046083,0.474799,0.196710,0.037300,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris;,0.047985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella paludivivens;,0.047985,1.116990,1.971326,0.782123,1.076001,0.521610,0,0,0.099404,0.142799,0,1.801116,0.092166,0.547845,1.001431,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides plebeius;,0.047985,0.705467,0.537634,0.586592,0.844457,0.223547,0,0.148368,0.497018,0.040800,0,0.583460,0.046083,0.438276,0.143062,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens;,0.047985,0,0,0,0,0,0,0.074184,0,0,0,0,0.046083,0,0,0.578142,0.136612,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. 2_1_33B;,0.047985,0,0,0.027933,0,0,1.150235,0,0,0,0,0,0,0,0.053648,0.298396,0.751366,0
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces amestolkiae;,0.047985,0.029394,0,0,0.027241,0.074516,0,0,0,0,0.085470,0.329782,0,0.109569,0.107296,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;Bacteroidales bacterium 36-12;,0.047985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. 214;,0.047985,0.088183,0.059737,0.027933,0.054481,0.596125,0.046948,0.111276,0.298211,0.142799,0.341880,0.101471,0.138249,0.146092,0.071531,0,0.068306,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. 51;,0.047985,0,0,0.083799,0.095342,0,0.070423,0,0,0,0.042735,0.025368,0,0.219138,0,0.037300,0.068306,0
Bacteria;NA;NA;NA;NA;NA;bacterium 0.1xD8-71;,0.047985,0,0,0,0.013620,0,0,0,0,0,0.042735,0,0,0,0,0,0,0
