file	percent	reads	taxon_id	taxon_name
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	10.220730	213	816	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	2.879079	60	838	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	1.535509	32	375288	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	1.199616	25	2510710	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Candidatus Amulumruptor;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.671785	14	1918540	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.479846	10	156973	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Dysgonomonas;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.431862	9	57493	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.335893	7	1298	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.287908	6	2304693	Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;Pseudoclostridium;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.239923	5	1017280	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.191939	4	45667	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.191939	4	397864	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.143954	3	84567	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.095969	2	82802	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Trichococcus;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.095969	2	572511	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.095969	2	1283313	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.047985	1	5094	Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	0.000000	0	10239	Viruses
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	35.508640	740	NA	cannot be assigned to a (non-viral) genus
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/exo/I-P01.exo.kaiju.output	45.345488	945	NA	unclassified
