file	percent	reads	taxon_id	taxon_name
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	35.854702	839	171549	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	2.478632	58	186802	Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.555556	13	85006	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.427350	10	118964	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.299145	7	135622	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.128205	3	768507	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.085470	2	5042	Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.085470	2	1970189	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.042735	1	1385	Bacteria;Firmicutes;Bacilli;Bacillales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.042735	1	80840	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.042735	1	91347	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.042735	1	186826	Bacteria;Firmicutes;Bacilli;Lactobacillales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.042735	1	200666	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;NA;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	0.000000	0	10239	Viruses
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	3.888889	91	NA	cannot be assigned to a (non-viral) order
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/exo/S-P09.exo.kaiju.output	55.982906	1310	NA	unclassified
