taxon,HedgesG,power,fdr
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;,-2.472944388,0.991151842,0.013574661
Unclassified,2.382959195,0.986628337,0.047794118
Bacteria;Bacteroidetes;Sphingobacteriia;NA;NA;NA;NA;,-1.334774812,0.649907371,0.030542986
Eukaryota;Ascomycota;Eurotiomycetes;NA;NA;NA;NA;,1.286349797,0.618021365,0.047188106
Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;,0.96545111,0.396719345,0.153167421
Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;,0.939412634,0.379247395,0.144544997
Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;,0.850599155,0.32170153,0.013574661
Bacteria;Actinobacteria;Actinobacteria;NA;NA;NA;NA;,0.7698296,0.272878292,0.013574661
Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;,0.760522349,0.267504657,0.013574661
Bacteria;Deinococcus-Thermus;Deinococci;NA;NA;NA;NA;,0.725633344,0.247866037,0.013574661
Bacteria;Proteobacteria;Betaproteobacteria;NA;NA;NA;NA;,0.573294289,0.172340953,1
Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;,0.369353225,0.099699206,0.28342246
Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;NA;,-0.333639501,0.090395972,0.598039216
Bacteria;Bacteroidetes;Saprospiria;NA;NA;NA;NA;,-0.120697165,0.055194585,0.839366516
