Domain,Phylum,Class,Order,Family,Active_Mean,Active_SE,Hibernation_Mean,Hibernation_SE,Significant
Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,0.080297,0.064009201,0.0242264,0.015447958,
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,0.607288333,0.270767498,0,0,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,13.62405617,3.210773155,13.4296856,4.641153096,X
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,0.45909925,0.126170773,0.7437816,0.151665433,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,0.190077167,0.044362625,0.0335024,0.015708997,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,9.650487333,1.644690471,9.2091728,2.367234189,X
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,0.007047333,0.003682836,0.0222552,0.0222552,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,8.462290083,1.423725021,1.333916,0.532087609,X
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,0.00708925,0.004218998,0.0549392,0.036973616,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,2.164312333,0.475985252,10.930975,3.057149736,X
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,0.242427083,0.091936739,0,0,
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,0.054355917,0.014661207,0.0068306,0.0068306,
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,0.120695417,0.052242651,0.0198808,0.0198808,
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0.142927333,0.048262997,0.0074184,0.0074184,
Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Lewinellaceae,0.00554025,0.004055926,0.0074184,0.0074184,
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,0.057261583,0.021829307,0.2560172,0.108795702,
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,0.351300333,0.150717098,0.0093896,0.0093896,
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,0.236402083,0.105293267,0.0046948,0.0046948,
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,0.0793435,0.024376996,0.0267114,0.019339194,
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,0.013886417,0.008484652,0,0,
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,0.110864167,0.056967421,0.2163156,0.097238375,
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,0.129593417,0.043475651,0.0722216,0.039049671,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,0.570080833,0.197158988,0,0,X
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,0.259352917,0.087636437,0.0892018,0.0892018,
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,0.040532917,0.022621683,0,0,
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,0.038161333,0.015664036,0,0,
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,0.067604417,0.026713416,0,0,
Unclassified,NA,NA,NA,NA,62.22762542,2.000322389,63.501445,4.044074163,
