Domain,Phylum,Class,pval,padj
Bacteria,Bacteroidetes,Bacteroidia,1.53E-05,0.000106812
Unclassified,-,-,1.53E-05,0.000106812
Bacteria,Firmicutes,Bacilli,0.000482403,0.002251214
Bacteria,Firmicutes,Clostridia,0.000726514,0.002542799
Bacteria,Actinobacteria,Actinobacteria,0.001097051,0.003071742
Bacteria,Deinococcus-Thermus,Deinococci,0.002526174,0.005052349
Bacteria,Bacteroidetes,Sphingobacteriia,0.002526174,0.005052349
Bacteria,Bacteroidetes,Cytophagia,0.003857293,0.006750262
Eukaryota,Ascomycota,Eurotiomycetes,0.005921537,0.00921128
Bacteria,Bacteroidetes,Flavobacteriia,0.009151689,0.012812364
Bacteria,Proteobacteria,Gammaproteobacteria,0.100348246,0.117072954
Bacteria,Proteobacteria,Betaproteobacteria,0.100348246,0.117072954
Bacteria,Bacteroidetes,Saprospiria,0.181449208,0.195406839
Bacteria,Proteobacteria,Alphaproteobacteria,0.37109337,0.37109337
