"","taxon","cohenD","power","fdr"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;",0.0789121885165689,0.0522166505832329,0.0271493212669683
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;",0.0177850584874816,0.0501124554981034,0.0316742081447964
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;",1.67022725969439,0.834434600863079,0.0316742081447964
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;",-2.30579541929401,0.981275844082442,0.0316742081447964
"5","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;",0.974716961824411,0.402989752670068,0.0316742081447964
"6","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;",1.17862712614911,0.544440907173959,0.0705882352941176
"7","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;NA;NA;",0.75606140658144,0.264948836438809,0.0705882352941176
"8","Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;NA;NA;",0.764506559218315,0.269798197568322,0.0705882352941176
"9","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;",0.608480321494436,0.188227827883734,0.0705882352941176
"10","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;",0.741706948934457,0.256813035141288,0.0705882352941176
"11","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;",-0.688922671121287,0.228101043104281,0.11600164541341
"12","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;NA;",-1.40628060600845,0.695054120059734,0.179864253393665
"13","Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;NA;NA;",0.551715018622001,0.163079209865466,0.23564218586843
"14","Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;NA;NA;",0.853108558239787,0.323276764504722,0.235940530058177
"15","Unclassified",-0.168695783950536,0.0601760050178596,0.257013574660634
"16","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;NA;NA;",0.888895492921181,0.346082065126131,0.320135746606335
"17","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;NA;",0.94479234095468,0.382838126999055,0.331269349845201
"18","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;",0.695425282326918,0.23153273606767,0.331269349845201
"19","Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;NA;NA;",0.821255944581932,0.303531027965728,0.331269349845201
"20","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;NA;NA;",1.07519540410765,0.472265835688884,0.45392842451666
"21","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;NA;NA;",-0.544616692970375,0.160113387059723,0.45392842451666
"22","Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae;NA;NA;",0.293997438358487,0.0812382133882275,0.45392842451666
"23","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;",-0.519738977059203,0.150036329283165,0.914223883533346
"24","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;NA;NA;",0.643493064232987,0.204986145793605,0.926659125188537
"25","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;",0.419922455696688,0.114601822001415,0.937869822485207
"26","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;NA;",-1.07551861287925,0.472491208914007,0.937869822485207
"27","Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Lewinellaceae;NA;NA;",-0.127163084212199,0.0557679404852662,1
"28","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;NA;NA;",0.604006483134327,0.186154304522856,1
