,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;,13.53167,14.550264,3.882915,11.03352,8.063198,1.564829,3.42723,13.909494,15.109344,12.627499,13.63248,2.663623,17.373272,14.718773,2.163805,0,9.050547,4.549249
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,10.556622,6.437389,13.799283,14.078212,5.693272,42.921013,10.211267,17.989614,9.940357,20.073439,7.606838,7.864028,4.608295,5.368882,24.481401,73.293549,28.381147,0.626043
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;,3.358925,9.376838,15.352448,6.787709,12.680468,8.196721,0.28169,0.667656,3.280318,2.733578,3.205128,17.326229,3.410138,7.88897,11.230329,0.027975,1.605191,0.834725
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;,1.535509,3.556731,2.449224,3.519553,3.309725,0.447094,15.023475,6.936202,2.882704,2.060384,0.25641,0.025368,2.258065,5.58802,0.965665,4.513241,9.528688,20.283806
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;,0.6238,0,0.477897,2.374302,0.558431,0.074516,0,0,0,0.244798,1.367521,0.101471,0.506912,0.511322,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;,0.479846,0.205761,0.059737,0.27933,0,0.298063,0.046948,0.037092,0,0.0204,0.299145,0.101471,0.322581,0,0.214592,0,0,0.083472
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;NA;NA;,0.431862,0.029394,0,0,0.054481,0.447094,0,0,0,0,0.555556,2.891933,0,0.766983,2.110157,0,0,0
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;NA;NA;,0.335893,0.029394,0.059737,0.027933,0.122582,0.074516,0.046948,0,0,0.0204,0.42735,1.750381,0,0.401753,0.965665,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,0.239923,0,0.358423,0.083799,0.313266,0,0.446009,0,0,0.0612,0.34188,0.279046,1.105991,0.328707,0,0.01865,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;,0.191939,0.058789,0.597372,0.027933,0.51757,0.074516,0.023474,0,0,0.081599,0,0,0.046083,1.205259,0.035765,0,0,0
