,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37,2I-P0,2I-P1,2I-S0,2I-S2,2I-S3,2I-W3,2S-P0,2S-P1,2S-S0,2S-S3,2S-W2,2S-W3
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.793103,31.818182,12.500000,23.684212,3.703704,13.636364,9.090909,3.921569,17.241379,41.666664,44.444447,28.571430
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.272727,0,2.500000,0,0,0,6.060606,7.843138,6.849315,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448276,0,5.000000,7.894736,7.407407,4.545455,6.060606,5.882353,4.109589,8.333334,11.111112,14.285715
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448276,0,2.500000,2.631579,3.703704,4.545455,10.000000,7.843138,1.369863,0,0,7.142858
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448276,0,0,0,0,4.545455,3.030303,0,1.369863,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.896552,4.545455,2.500000,5.263158,3.703704,7.142858,3.030303,1.960784,10.344828,0,0,14.285715
Viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.241379,13.636364,5.000000,5.263158,11.111112,9.090909,3.030303,1.960784,6.896552,0.000000,0.000000,0.000000
unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.724136,45.454547,67.500001,55.263156,66.666669,63.636363,69.696969,66.666669,62.068963,50.000000,44.444445,42.857143
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545455,0,0,0,0,0,1.960784,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.500000,0,0,0,0,0,3.448276,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703704,0,0,0,1.369863,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333,1.960784,0,0,0,0
