,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;,48.226948,59.433960,67.500000,54.609932,60.583942,70.588234,57.291668,54.205608,54.198475,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;,7.092199,5.660378,5.000000,12.056737,7.299270,1.960784,10.416666,11.214952,6.870229,0,0,0,0,0,0,0,0
Bacteria;Verrucomicrobia;Verrucomicrobiae;NA;NA;NA;NA;,4.255319,6.603774,0,5.673759,4.379562,1.960784,3.125000,2.803738,0.763359,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;,3.546099,0.943396,0.833333,0.709220,1.459854,1.960784,1.041667,0.934579,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;,0.709220,0,0,0,0,0,0,0.934579,0.763359,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;NA;NA;NA;NA;,0.709220,0.943396,0.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Coriobacteriia;NA;NA;NA;NA;,0.709220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Verrucomicrobia;Opitutae;NA;NA;NA;NA;,0.709220,0,0.833333,0,0,0,1.041667,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Chitinophagia;NA;NA;NA;NA;,0.709220,0.943396,0.833333,2.127660,0.729927,0,1.041667,0,0.763359,0,0,0,0,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
cannot be assigned to a (non-viral) class,4.964539,5.660378,4.166667,4.964539,3.649635,2.941176,7.291667,7.476635,9.923664,0,0,0,0,0,0,0,0
unclassified,28.368795,16.981132,15.000001,17.730497,21.167883,14.705883,17.708333,10.280374,19.847329,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;,0,0.943396,1.666667,0.709220,0.729927,3.921569,0,2.803738,0.763359,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;NA;NA;NA;NA;,0,0.943396,0,0.709220,0,1.960784,1.041667,0.934579,1.526718,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Erysipelotrichia;NA;NA;NA;NA;,0,0.943396,0,0,0,0,0,8.411215,3.053435,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;NA;NA;NA;NA;,0,0,1.666667,0.709220,0,0,0,0,0.763359,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;,0,0,1.666667,0,0,0,0,0,0.763359,0,0,0,0,0,0,0,0
