,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Bacteroidetes;NA;NA;NA;NA;NA;,48.936169,63.207550,71.666664,58.156025,63.503647,76.470589,59.375000,57.943924,59.541981,76.562500,73.109245,59.842522,66.480446,58.620689,78.750000,73.404251,69.000000,74.025978
Bacteria;Firmicutes;NA;NA;NA;NA;NA;,12.056737,9.433963,7.500000,17.021276,9.489051,4.901961,16.666668,24.299067,16.793894,12.500000,3.361345,9.448819,7.821229,13.793103,6.250000,5.319149,11.000000,22.077923
Bacteria;Verrucomicrobia;NA;NA;NA;NA;NA;,4.964539,6.603774,0.833333,5.673759,4.379562,1.960784,4.166667,2.803738,0.763359,0,2.521008,2.362205,1.117318,3.448276,5.000000,4.255319,5.000000,0
Bacteria;Proteobacteria;NA;NA;NA;NA;NA;,1.418440,0.943396,2.500000,0.709220,0,0,0,0.934579,1.526718,0,0,0.787402,1.117318,1.149425,0,0,0,0
Bacteria;Elusimicrobia;NA;NA;NA;NA;NA;,1.418440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;NA;NA;NA;NA;NA;,0.709220,0,0,0,0,0,1.041667,0,0,0,0.840336,1.574803,1.675978,0,0,0,0,0
Bacteria;Actinobacteria;NA;NA;NA;NA;NA;,0.709220,0,0,0,0,0,0,0,0,0,0,0,0,1.149425,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) phylum,1.418440,2.830189,2.500000,0.709220,0.729927,1.960784,1.041667,3.738318,1.526718,0.781250,2.521008,5.511811,2.793296,1.149425,1.250000,3.191489,2.000000,0.000000
unclassified,28.368795,16.981132,15.000001,17.730497,21.167883,14.705883,17.708333,10.280374,19.847329,10.156250,16.806723,20.472442,18.994413,20.689656,8.750000,13.829787,12.000000,3.896104
Bacteria;Gemmatimonadetes;NA;NA;NA;NA;NA;,0,0,0,0,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Ignavibacteriae;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0.840336,0,0,0,0,0,1.000000,0
