file	percent	reads	taxon_id	taxon_name
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	36.274509	37	816	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	15.686275	16	239759	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	4.901961	5	375288	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	2.941176	3	838	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	1.960784	2	239934	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	0.980392	1	44249	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	0.980392	1	84567	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	0.980392	1	261827	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Algibacter;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	0.980392	1	283168	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	0.980392	1	283735	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	0.980392	1	346096	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	0.980392	1	416949	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Parapedobacter;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	0.980392	1	456492	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Saccharibacillus;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	0.000000	0	10239	Viruses
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	15.686275	16	NA	cannot be assigned to a (non-viral) genus
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH20/I-S34.GH20.kaiju.output	14.705883	15	NA	unclassified
