,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37,3I-P0,3I-P1,3I-S0,3I-S2,3I-S3,3I-W3,3S-P0,3S-P1,3S-S0,3S-S3,3S-W2,3S-W3
Bacteria;Firmicutes;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.390358,45.940960,51.612900,44.189602,44.038464,46.822037,42.732048,54.323994,47.801147,35.146442,47.804878,45.578232
Bacteria;Bacteroidetes;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.727839,30.258305,20.506912,30.581039,25.576921,33.050846,29.422066,14.738125,25.621414,31.589958,40.487804,29.931971
Bacteria;Actinobacteria;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.576983,1.845018,2.534562,3.058104,3.653846,2.330508,2.626970,3.775883,1.912046,4.393305,1.463415,1.020408
Bacteria;Proteobacteria;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777605,0.553506,0.576037,0.764526,1.346154,0.635593,0.700525,0.852619,0.764818,0.418410,0,0.340136
Bacteria;Elusimicrobia;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466563,0,0.345622,0.152905,0,0.211864,0.522648,0,0.382409,0,0,0.680272
Bacteria;Chloroflexi;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.369004,0,0.305810,0.769231,0.277008,0.525394,0.121803,0.191205,0.418410,0,0.527704
Bacteria;Spirochaetes;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458716,0,0.115207,0.152905,0,0.423729,0.175131,0.487211,0.187793,0,0,0
Bacteria;Verrucomicrobia;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311042,0.184502,0.345622,0.458716,0.192308,0.211864,0.350263,0.121803,0.573614,1.046025,0.487805,1.020408
Bacteria;Tenericutes;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.021773,0.922509,0.576037,0,0.769231,0.211864,0.175131,0.730816,0.573614,1.046025,0,0.340136
Bacteria;Chlamydiae;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0.184502,0,0.152905,0,0.211864,0.175131,0,0,0,0,0.263852
Viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) phylum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.332815,4.059041,4.262673,3.211009,7.692308,2.330508,5.604203,4.872107,4.397706,4.393305,2.926829,4.421769
unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.239502,15.498155,18.894009,16.207951,15.961538,12.711865,16.987741,19.732034,17.590822,21.338913,6.829268,16.326530
Bacteria;Acidobacteria;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184502,0.115207,0.458716,0,0.240964,0,0.121803,0.281690,0.209205,0,0
Bacteria;Candidatus Melainabacteria;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115207,0,0,0.423729,0.175131,0,0.191205,0,0,0.263852
Bacteria;Fusobacteria;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152905,0,0,0,0,0.093897,0,0,0.340136
Bacteria;Gemmatimonadetes;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152905,0,0,0,0.121803,0,0,0,0
Archaea;Candidatus Bathyarchaeota;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211864,0.175131,0,0,0,0,0
Bacteria;Thermotogae;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211864,0,0,0.093897,0,0,0
Bacteria;Planctomycetes;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175131,0,0,0,0,0
Eukaryota;Chytridiomycota;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093897,0,0,0
Bacteria;Calditrichaeota;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093897,0,0,0
