file	percent	reads	taxon_id	taxon_name
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH31/I-W31.GH31.kaiju.output	38.983051	46	171549	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH31/I-W31.GH31.kaiju.output	33.050846	39	186802	Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH31/I-W31.GH31.kaiju.output	1.694915	2	85004	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;NA;NA;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH31/I-W31.GH31.kaiju.output	1.694915	2	200644	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NA;NA;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH31/I-W31.GH31.kaiju.output	0.847458	1	53433	Bacteria;Firmicutes;Clostridia;Halanaerobiales;NA;NA;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH31/I-W31.GH31.kaiju.output	0.847458	1	68295	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;NA;NA;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH31/I-W31.GH31.kaiju.output	0.847458	1	526525	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;NA;NA;NA;
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH31/I-W31.GH31.kaiju.output	0.000000	0	10239	Viruses
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH31/I-W31.GH31.kaiju.output	11.016950	13	NA	cannot be assigned to a (non-viral) order
/home/glbrc.org/echiang3/Inulin_MetaG/kaiju/sig_cazymes/GH31/I-W31.GH31.kaiju.output	11.016949	13	NA	unclassified
