,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila;,2.898551,0,0,3.389831,4.081633,2.631579,0,3.225806,0,0,2.000000,2.173913,1.250000,2.222222,0,1.785714,3.703704,0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Sporomusaceae;Acetonema;Acetonema longum;,1.449275,0,0,0,0,2.631579,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;Tyzzerella nexilis;,1.449275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens;,1.449275,0,0,1.694915,2.040816,0,2.000000,3.225806,2.040816,1.470588,0,0,0,2.222222,0,3.571429,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella;Hungatella hathewayi;,1.449275,0,0,1.694915,0,0,2.000000,3.225806,0,1.470588,2.000000,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;Acetatifactor muris;,1.449275,2.564103,0,0,0,0,0,0,0,1.470588,0,0,1.250000,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;Oscillibacter sp. 1-3;,1.449275,0,0,0,0,0,0,0,0,0,0,0,1.250000,0,0,0,0,2.941176
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:530;,1.449275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:299;,1.449275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerobium;Anaerobium acetethylicum;,1.449275,0,0,1.694915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides massiliensis;,1.449275,0,0,0,0,0,0,0,0,0,2.000000,0,0,0,0,1.785714,0,2.941176
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. KH2C16;,1.449275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Millionella;Millionella massiliensis;,1.449275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium sp. An122;,1.449275,0,0,1.694915,0,0,0,0,2.040816,0,0,0,1.250000,0,0,1.785714,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;Monoglobus;Monoglobus pectinilyticus;,1.449275,0,0,0,0,0,0,0,0,0,0,0,1.250000,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;Rikenellaceae bacterium;,1.449275,0,0,0,0,0,0,0,0,0,0,0,1.250000,0,0,0,3.703704,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. Z76;,1.449275,2.564103,0,0,2.040816,2.631579,0,0,0,0,2.000000,2.173913,0,2.222222,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-110 (HZI);,1.449275,0,2.272727,0,2.040816,2.631579,2.000000,0,2.040816,0,2.000000,0,0,2.222222,0,1.785714,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) species,30.434782,17.948719,38.636364,27.118645,26.530611,28.947369,32.000000,32.258064,22.448978,25.000000,36.000000,23.913044,28.750000,28.888889,35.714287,32.142857,29.629629,32.352943
unclassified,42.028984,43.589744,29.545453,33.898306,40.816328,21.052632,40.000001,32.258064,42.857143,38.235295,38.000000,52.173913,38.749999,31.111112,25.000000,44.642857,33.333334,11.764706
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis;,0,2.564103,0,1.694915,2.040816,5.263158,0,0,0,0,0,2.173913,0,2.222222,7.142858,1.785714,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae;,0,2.564103,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785714,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens;,0,2.564103,0,0,0,0,2.000000,0,0,1.470588,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium A4;,0,2.564103,0,0,0,0,0,0,2.040816,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fluxus;,0,2.564103,0,1.694915,2.040816,2.631579,2.000000,0,2.040816,1.470588,2.000000,2.173913,0,2.222222,3.571429,1.785714,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:1058;,0,2.564103,2.272727,1.694915,4.081633,5.263158,0,0,2.040816,0,0,0,0,4.444445,3.571429,1.785714,0,0
