,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;,18.750000,23.809525,38.888889,29.629629,27.272728,33.333336,58.333332,30.000002,25.000000,56.250000,44.444447,31.250000,34.482758,29.411766,61.538464,21.428572,15.000001,30.000002
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;NA;,6.250000,0,0,0,4.545455,0,0,0,4.166667,0,0,0,0,0,0,7.142858,5.000000,10.000000
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;,6.250000,4.761905,5.555556,3.703704,4.545455,8.333334,0,0,0,6.250000,0,0,10.344828,0,0,0,10.000000,0
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Marinilabilia;NA;,6.250000,4.761905,0,0,4.545455,0,0,0,0,0,5.555556,0,0,0,0,0,0,0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;NA;,6.250000,0,0,0,4.545455,0,0,0,0,0,0,6.250000,0,5.882353,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;,6.250000,9.523809,5.555556,3.703704,9.090909,0,0,15.000001,4.166667,6.250000,11.111112,6.250000,6.896552,11.764706,7.692308,7.142858,5.000000,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;NA;,6.250000,4.761905,5.555556,0,0,0,0,0,0,0,5.555556,6.250000,0,0,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) genus,18.750000,19.047619,16.666668,22.222223,18.181818,33.333336,16.666668,15.000001,37.500000,12.500000,11.111112,12.500000,20.689655,23.529411,15.384616,14.285715,45.000000,40.000000
unclassified,25.000000,28.571430,16.666667,22.222222,9.090909,16.666667,16.666667,15.000001,12.500000,0.000000,11.111111,31.250000,17.241380,0.000000,7.692308,35.714287,5.000000,0.000000
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lentibacillus;NA;,0,4.761905,0,0,0,0,0,0,0,0,5.555556,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;NA;,0,0,5.555556,0,0,0,0,0,0,0,0,0,0,0,7.692308,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA;,0,0,5.555556,0,4.545455,8.333334,0,0,4.166667,6.250000,5.555556,0,0,11.764706,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;NA;,0,0,0,3.703704,4.545455,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;,0,0,0,3.703704,0,0,8.333334,5.000000,0,0,0,0,0,5.882353,0,7.142858,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;NA;,0,0,0,3.703704,0,0,0,5.000000,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;NA;,0,0,0,3.703704,0,0,0,0,4.166667,6.250000,0,6.250000,3.448276,5.882353,0,0,0,10.000000
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;NA;,0,0,0,3.703704,0,0,0,10.000000,0,0,0,0,0,5.882353,0,0,10.000000,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ornithobacterium;NA;,0,0,0,0,4.545455,0,0,0,0,0,0,0,3.448276,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;NA;,0,0,0,0,4.545455,0,0,5.000000,4.166667,6.250000,0,0,0,0,0,0,5.000000,0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Nonomuraea;NA;,0,0,0,0,0,0,0,0,4.166667,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;,0,0,0,0,0,0,0,0,0,0,0,0,3.448276,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.000000
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.142858,0,0
