,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;,52.941177,78.947372,62.962959,62.068962,66.666672,76.470589,50.000000,50.000000,61.290325,70.370369,71.428574,73.076920,75.675674,59.259258,75.000000,72.222221,85.714287,56.000000
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;NA;NA;NA;,11.764706,0,0,3.448276,8.333334,0,14.285715,5.000000,0,0,3.571429,7.692308,0,7.407407,0,0,0,0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;NA;NA;NA;,5.882353,0,3.703704,0,0,0,0,10.000000,3.225806,0,0,0,2.702703,0,0,0,0,12.000000
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) order,5.882353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.846154,0.000000,7.407407,0.000000,5.555556,0.000000,0.000000
unclassified,23.529412,21.052632,25.925925,10.344828,11.111111,5.882353,7.142857,30.000001,12.903225,14.814815,21.428572,11.538462,18.918920,11.111111,18.750000,11.111111,7.142857,12.000000
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;NA;,0,0,3.703704,0,0,0,0,0,0,3.703704,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;NA;NA;NA;,0,0,3.703704,3.448276,2.777778,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;,0,0,0,10.344828,2.777778,0,21.428572,5.000000,19.354837,3.703704,3.571429,0,0,0,0,11.111112,0,20.000000
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;NA;NA;NA;,0,0,0,3.448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;,0,0,0,3.448276,2.777778,5.882353,0,0,0,0,0,3.846154,0,3.703704,0,0,0,0
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;NA;NA;NA;,0,0,0,3.448276,2.777778,5.882353,0,0,0,0,0,0,0,3.703704,6.250000,0,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;NA;,0,0,0,0,2.777778,5.882353,7.142858,0,3.225806,7.407407,0,0,2.702703,7.407407,0,0,7.142858,0
