file	percent	reads	taxon_id	taxon_name
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/GH9/S-S32.GH9.kaiju.output	10.000000	2	839	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella ruminicola;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/GH9/S-S32.GH9.kaiju.output	10.000000	2	691816	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides rodentium;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/GH9/S-S32.GH9.kaiju.output	5.000000	1	820	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/GH9/S-S32.GH9.kaiju.output	5.000000	1	29322	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;[Eubacterium] cellulosolvens;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/GH9/S-S32.GH9.kaiju.output	5.000000	1	40519	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus callidus;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/GH9/S-S32.GH9.kaiju.output	5.000000	1	177400	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Anaerophaga;Anaerophaga thermohalophila;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/GH9/S-S32.GH9.kaiju.output	5.000000	1	246787	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/GH9/S-S32.GH9.kaiju.output	5.000000	1	1898203	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/GH9/S-S32.GH9.kaiju.output	0.000000	0	10239	Viruses
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/GH9/S-S32.GH9.kaiju.output	50.000000	10	NA	cannot be assigned to a (non-viral) species
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/GH9/S-S32.GH9.kaiju.output	0.000000	0	NA	unclassified
