file	percent	reads	taxon_id	taxon_name
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/PL12/S-S05.PL12.kaiju.output	10.000000	2	1965583	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium sp. An196;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/PL12/S-S05.PL12.kaiju.output	10.000000	2	2302961	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;Subdoligranulum sp. AM23-21AC;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/PL12/S-S05.PL12.kaiju.output	5.000000	1	154046	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella;Hungatella hathewayi;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/PL12/S-S05.PL12.kaiju.output	5.000000	1	1410611	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio sp. WCE2006;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/PL12/S-S05.PL12.kaiju.output	5.000000	1	1720294	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;Eisenbergiella massiliensis;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/PL12/S-S05.PL12.kaiju.output	5.000000	1	2067550	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. chh4-2;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/PL12/S-S05.PL12.kaiju.output	5.000000	1	2291990	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;Clostridiaceae bacterium AF42-6;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/PL12/S-S05.PL12.kaiju.output	5.000000	1	2320113	Bacteria;NA;NA;NA;NA;NA;bacterium 1xD42-87;
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/PL12/S-S05.PL12.kaiju.output	0.000000	0	10239	Viruses
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/PL12/S-S05.PL12.kaiju.output	15.000001	3	NA	cannot be assigned to a (non-viral) species
/home/glbrc.org/echiang3/Saline_MetaG/kaiju/sig_cazymes/PL12/S-S05.PL12.kaiju.output	34.999999	7	NA	unclassified
