,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37,8I-P0,8I-P1,8I-S0,8I-S2,8I-S3,8I-W3,8S-P0,8S-P1,8S-S0,8S-S3,8S-W2,8S-W3
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.000000,0,8.333334,9.090909,0,0,20.000000,0,14.285715,0,0,10.000000
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:754;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.500000,0,8.333334,9.090909,33.333336,14.285715,0,0,0,0,0,10.000000
Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium ASF500;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.500000,0,0,0,0,0,0,0,0,0,0,0
Viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.000000,50.000000,0.000000,0.000000,0.000000,20.000000,40.000000,0.000000,28.571430,0.000000,0.000000,0.000000
unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.000000,16.666667,58.333331,54.545456,33.333334,60.000002,20.000000,0.000000,42.857143,77.777779,25.000000,40.000001
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemania;Holdemania filiformis;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.666668,0,0,0,11.111112,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.666668,16.666668,9.090909,33.333336,10.000000,20.000000,100.000000,14.285715,11.111112,0,20.000000
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333334,0,0,14.285715,0,0,0,11.111112,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruthenibacterium;Ruthenibacterium lactatiformans;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909,0,0,7.692308,0,0,0,12.500000,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum;Anaerofilum sp. An201;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes indistinctus;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.333336,15.384616,0,0,0,37.500000,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella;Hungatella hathewayi;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111112,0,0,0,0,0,40.000000
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides congonensis;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.000000,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes senegalensis;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.000000,0
