,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;,55.045872,57.142860,62.500000,59.223301,57.812500,51.428574,65.853661,54.838711,63.636364,55.737705,66.666672,61.111111,62.393166,66.666672,57.446808,67.857140,61.904762,86.111107
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;,2.752294,3.174603,3.571429,2.912621,7.812500,8.571429,4.878048,6.451612,6.818182,8.196721,4.761905,3.333333,2.564103,4.444445,10.638298,7.142858,9.523809,8.333334
Bacteria;Firmicutes;Erysipelotrichia;NA;NA;NA;NA;,1.834862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;,0.917431,0,0,0.970874,1.562500,0,2.439024,0,0,0,0,1.111111,1.709402,2.222222,2.127660,0,0,0
Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;,0.917431,1.587302,1.785714,4.854369,1.562500,1.428571,0,3.225806,4.545455,4.918033,1.587302,5.555556,2.564103,4.444445,2.127660,3.571429,4.761905,0
Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;,0.917431,0,0,0.970874,0,0,0,0,0,1.639344,0,1.111111,0,0,2.127660,0,0,0
Bacteria;Thermotogae;Thermotogae;NA;NA;NA;NA;,0.917431,0,0,0,1.562500,0,0,0,2.272727,0,0,1.111111,0.854701,0,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) class,15.596331,17.460318,19.642857,14.563107,10.937500,12.857143,17.073172,16.129032,11.363637,11.475410,9.523809,8.888889,11.111112,11.111112,14.893617,3.571429,14.285715,2.777778
unclassified,21.100917,17.460318,10.714286,15.533981,17.187500,21.428572,9.756097,16.129032,11.363637,16.393442,17.460318,15.555556,15.384616,8.888889,6.382979,14.285715,9.523810,2.777778
Bacteria;Actinobacteria;Actinobacteria;NA;NA;NA;NA;,0,3.174603,0,0,1.562500,2.857143,0,0,0,1.639344,0,1.111111,2.564103,2.222222,0,0,0,0
Bacteria;Bacteroidetes;Chitinophagia;NA;NA;NA;NA;,0,0,1.785714,0,0,1.428571,0,0,0,0,0,0,0,0,0,3.571429,0,0
Bacteria;Proteobacteria;Betaproteobacteria;NA;NA;NA;NA;,0,0,0,0.970874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Fusobacteria;Fusobacteriia;NA;NA;NA;NA;,0,0,0,0,0,0,0,3.225806,0,0,0,0,0,0,2.127660,0,0,0
Bacteria;Spirochaetes;Spirochaetia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,1.111111,0,0,0,0,0,0
Bacteria;Firmicutes;Negativicutes;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0.854701,0,0,0,0,0
Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127660,0,0,0
