,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;,4.000000,11.111112,11.111112,10.000000,12.500000,0,0,25.000000,20.000000,0,7.142858,0,5.263158,33.333336,0,50.000000,0,25.000000
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;,4.000000,0,0,0,12.500000,0,0,0,20.000000,14.285715,7.142858,0,0,0,12.500000,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) genus,16.000000,11.111112,0.000000,10.000000,12.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.555556,5.263158,0.000000,25.000000,0.000000,0.000000,0.000000
unclassified,75.999999,66.666669,77.777779,69.999999,62.500000,80.000001,50.000000,50.000000,20.000000,57.142860,78.571427,94.444442,84.210527,33.333334,50.000000,0.000000,100.000000,0.000000
Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;Ruminiclostridium;NA;,0,11.111112,0,10.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;NA;,0,0,11.111112,0,0,20.000000,0,0,0,0,0,0,0,33.333336,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruthenibacterium;NA;,0,0,0,0,0,0,50.000000,0,20.000000,14.285715,0,0,0,0,12.500000,50.000000,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;,0,0,0,0,0,0,0,25.000000,20.000000,14.285715,7.142858,0,5.263158,0,0,0,0,25.000000
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.000000
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.000000
