,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,30.769232,32.142857,30.434782,47.058823,37.500000,26.666668,0,0,0,36.842106,31.250000,30.000002,20.833332,9.090909,25.000000,0,14.285715,11.111112
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;,19.230770,7.142858,0,17.647058,0,13.333334,0,0,10.000000,10.526316,12.500000,10.000000,12.500000,0,5.000000,28.571430,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,11.538462,32.142857,34.782608,17.647058,33.333336,26.666668,70.000000,33.333336,20.000000,26.315790,25.000000,23.333334,16.666668,31.818182,45.000000,42.857143,0,44.444447
Eukaryota;Ciliophora;Litostomatea;Entodiniomorphida;Ophryoscolecidae;NA;NA;,3.846154,0,0,0,0,0,0,0,0,0,0,0,2.083333,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;,3.846154,3.571429,8.695652,5.882353,4.166667,0,0,6.666667,10.000000,5.263158,0,0,0,9.090909,10.000000,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;,3.846154,3.571429,0,5.882353,0,0,0,0,10.000000,0,0,0,2.083333,0,5.000000,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;,3.846154,0,0,0,0,0,10.000000,6.666667,0,0,0,0,0,4.545455,0,0,0,0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Dictyobacteraceae;NA;NA;,3.846154,0,0,0,8.333334,0,0,0,0,0,6.250000,3.333333,2.083333,9.090909,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) family,3.846154,0.000000,4.347826,0.000000,4.166667,6.666667,0.000000,20.000000,10.000000,10.526316,9.375000,10.000000,16.666668,22.727274,5.000000,0.000000,28.571430,11.111112
unclassified,15.384616,10.714286,13.043478,0.000000,8.333334,26.666668,20.000000,13.333334,10.000000,10.526316,12.500000,20.000000,25.000000,13.636364,0.000000,28.571430,14.285715,0.000000
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;,0,7.142858,4.347826,0,0,0,0,20.000000,0,0,3.125000,3.333333,2.083333,0,0,0,42.857143,11.111112
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;NA;NA;,0,3.571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;NA;,0,0,4.347826,0,0,0,0,0,10.000000,0,0,0,0,0,0,0,0,11.111112
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;NA;NA;,0,0,0,5.882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;NA;NA;,0,0,0,0,4.166667,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;,0,0,0,0,0,0,0,0,10.000000,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;,0,0,0,0,0,0,0,0,10.000000,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000,0,0,0
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111112
