,X,I.P01,I.P07,I.P11,I.S07,I.S29,I.S34,I.W31,I.W32,I.W33,S.P03,S.P09,S.P12,S.S05,S.S08,S.S32,S.W36,S.W37,S.W20
1,Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;,7.272727,0,0,2.5,0,0,0,0,0,3.333333,6.060606,7.843138,6.849315,0,0,0,0,0
2,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;,3.636364,0,4.545455,2.5,5.263158,0,0,7.142858,4.545455,0,6.060606,0,6.849315,3.448276,16.666668,0,14.285715,11.111112
3,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;,3.636364,3.448276,0,5,0,3.703704,0,0,0,0,0,3.921569,4.109589,0,0,0,0,0
4,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;,1.818182,3.448276,0,2.5,2.631579,3.703704,0,7.142858,4.545455,10,0,7.843138,1.369863,0,0,7.142858,0,0
5,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Virgibacillus;NA;,1.818182,3.448276,0,0,0,0,4.166667,0,4.545455,0,3.030303,0,1.369863,0,0,0,0,0
6,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;,1.818182,0,9.090909,2.5,2.631579,0,0,0,0,0,0,0,2.739726,3.448276,0,0,0,0
15,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;NA;,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,14.285715,11.111112
16,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;,0,0,0,0,7.894736,0,4.166667,7.142858,0,0,0,0,0,0,0,7.142858,0,0
21,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruthenibacterium;NA;,0,0,0,0,0,0,0,0,0,0,3.030303,0,0,0,8.333334,0,14.285715,11.111112
11,Unclassified,79.999999,89.655172,86.363636,82.5,81.578948,92.592592,91.666666,78.571426,86.363635,86.666667,81.818182,80.392155,76.712329,93.103448,74.999998,85.714284,57.142855,66.666664
