"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;","6.666667","0","21.428572","17.391304","5.263158","6.666667","18.181818","28.57143","14.285715","6.25","22.222223","4.545455","9.677419","0","30.000002","60.000004","0","44.444447"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;NA;","3.333333","0","7.142858","0","5.263158","0","9.090909","0","0","0","0","0","3.225806","7.142858","0","0","0","0"
"4","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;","3.333333","8.333334","0","4.347826","0","6.666667","9.090909","0","0","0","0","0","3.225806","0","0","0","0","0"
"5","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Marinococcus;NA;","3.333333","0","0","4.347826","5.263158","0","0","0","0","0","0","0","3.225806","0","0","0","0","0"
"6","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA;","3.333333","0","0","4.347826","5.263158","0","9.090909","0","0","0","0","0","0","7.142858","0","0","0","0"
"9","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;","3.333333","0","0","4.347826","0","0","0","0","0","0","11.111112","0","3.225806","0","0","0","0","0"
"11","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;","3.333333","16.666668","0","0","10.526316","6.666667","0","0","0","12.5","5.555556","9.090909","3.225806","21.428572","0","0","20","0"
"17","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerocolumna;NA;","0","8.333334","7.142858","0","5.263158","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;NA;","0","0","21.428572","4.347826","0","0","18.181818","0","14.285715","12.5","5.555556","0","0","7.142858","0","0","20","11.111112"
"20","Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium;NA;","0","0","7.142858","0","0","6.666667","0","14.285715","0","0","5.555556","0","0","0","0","0","0","0"
"23","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;NA;","0","0","0","4.347826","0","0","0","0","0","0","0","0","3.225806","7.142858","0","0","0","0"
"24","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;NA;","0","0","0","0","0","6.666667","0","0","0","6.25","0","0","3.225806","0","0","0","0","0"
"25","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Murimonas;NA;","0","0","0","0","0","6.666667","0","0","0","0","0","4.545455","3.225806","0","0","0","0","0"
"27","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;","0","0","0","0","0","0","0","14.285715","0","0","5.555556","0","0","7.142858","0","0","0","11.111112"
"31","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;","0","0","0","0","0","0","0","0","0","0","0","9.090909","3.225806","0","0","0","0","11.111112"
"16","Unclassified","73.333335","66.666664","35.714282","56.52174","63.157894","59.999998","36.363637","42.85714","71.42857","62.5","44.444441","72.727272","61.290327","42.857138","69.999998","39.999996","60","22.222217"
