"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;","17.730497","28.301886","38.333332","32.624115","25.547445","36.274509","38.541664","32.710281","22.900763","0","0","0","0","0","0","0","0"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;","9.219858","7.54717","8.333334","6.382979","6.569343","4.901961","4.166667","13.084112","10.687022","0","0","0","0","0","0","0","0"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;NA;","8.510638","9.433963","7.5","7.092199","12.408759","16.666668","8.333334","5.607476","7.633588","0","0","0","0","0","0","0","0"
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;","7.092199","8.490566","9.166667","2.12766","4.379562","2.941176","0","0","2.290076","0","0","0","0","0","0","0","0"
"5","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;","4.255319","0.943396","0","3.546099","2.919708","0","2.083333","0","0.763359","0","0","0","0","0","0","0","0"
"6","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;NA;NA;","4.255319","6.603774","0","5.673759","4.379562","1.960784","3.125","2.803738","0.763359","0","0","0","0","0","0","0","0"
"7","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;","2.12766","0","0","0.70922","0.729927","1.960784","0","0","0","0","0","0","0","0","0","0","0"
"8","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;","1.41844","0.943396","0","2.836879","1.459854","0","1.041667","2.803738","1.526718","0","0","0","0","0","0","0","0"
"9","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;","1.41844","0.943396","0.833333","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;NA;NA;","1.41844","1.886792","0.833333","1.41844","2.919708","0.980392","1.041667","0.934579","4.580153","0","0","0","0","0","0","0","0"
"11","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;NA;NA;","0.70922","0.943396","0.833333","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;NA;NA;","0.70922","0","0.833333","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;","0.70922","0.943396","0","1.41844","0","1.960784","2.083333","1.869159","0","0","0","0","0","0","0","0","0"
"15","Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;NA;NA;","0.70922","0.943396","0.833333","2.12766","0.729927","0","1.041667","0","0.763359","0","0","0","0","0","0","0","0"
"16","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae;NA;NA;","0.70922","0","0","0","0.729927","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;NA;NA;","0.70922","0","0","0","0","0","0","0","0.763359","0","0","0","0","0","0","0","0"
"18","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;","0.70922","0.943396","0","0.70922","2.919708","0.980392","1.041667","0","2.290076","0","0","0","0","0","0","0","0"
"19","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;","0.70922","0","0","0","0.729927","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;NA;","0","0.943396","1.666667","0.70922","0.729927","1.960784","0","0","0.763359","0","0","0","0","0","0","0","0"
"24","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;NA;","0","0.943396","0","0.70922","0","1.960784","1.041667","0.934579","1.526718","0","0","0","0","0","0","0","0"
"25","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;NA;NA;","0","0.943396","0","0","0","0","0","8.411215","3.053435","0","0","0","0","0","0","0","0"
"26","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;","0","0.943396","0","0","0","0","0","0","0.763359","0","0","0","0","0","0","0","0"
"27","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;NA;NA;","0","0","1.666667","0.70922","0","0","0","0","0.763359","0","0","0","0","0","0","0","0"
"29","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;NA;NA;","0","0","1.666667","2.836879","0.729927","0.980392","1.041667","0.934579","0","0","0","0","0","0","0","0","0"
"31","Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;NA;NA;","0","0","0","0","0.729927","0","1.041667","0.934579","0","0","0","0","0","0","0","0","0"
"26.1","Unclassified","36.87943","27.358493","27.500001","28.368791","31.386862","26.47059","34.375","28.971965","38.167938","100","100","100","100","100","100","100","100"
