"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium AM55-24TS;","2.678571","0","0","0","0","0","0","0","0","2.912621","0","0","2.189781","0","0","0","0","0"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii;","1.785714","3.174603","3.076923","1.020408","2.564103","0","0","5.128205","1.538462","2.912621","2.150538","1.282051","0.729927","1.639344","0","5.714286","0","6.25"
"4","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;Acetatifactor muris;","1.785714","0","1.538462","1.020408","0","0","0","0","0","0","1.075269","1.282051","1.459854","1.639344","0","0","0","0"
"5","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:167;","1.785714","0","0","0","0","0","0","0","0","0","1.075269","1.282051","1.459854","1.639344","0","0","0","0"
"7","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Kineothrix;Kineothrix alysoides;","1.785714","0","0","0","2.564103","0","0","0","0","0","0","2.564103","0.729927","0","0","0","0","0"
"8","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium;","1.785714","0","1.538462","1.020408","0","0","0","0","0","2.912621","2.150538","0","1.459854","0","0","0","0","0"
"9","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-110 (HZI);","1.785714","1.587302","0","1.020408","1.282051","0","6.25","2.564103","1.538462","0.970874","1.075269","0","1.459854","3.278688","4.166667","0","0","0"
"10","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus;","0.892857","0","0","0","0","0","0","0","1.538462","0","0","0","0.729927","0","0","0","0","0"
"11","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis;","0.892857","0","0","1.020408","1.282051","0","0","0","0","0","0","0","1.459854","0","4.166667","5.714286","0","6.25"
"12","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;[Eubacterium] rectale;","0.892857","0","0","0","0","0","2.083333","0","1.538462","0","1.075269","0","0","0","0","0","0","0"
"15","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella brevis;","0.892857","0","0","0","1.282051","0","0","0","0","0.970874","1.075269","0","0","0","0","0","0","0"
"16","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus;","0.892857","0","1.538462","1.020408","0","0","0","0","0","0.970874","1.075269","0","0.729927","1.639344","0","0","0","0"
"19","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara;","0.892857","0","0","0","0","1.818182","0","0","0","0","2.150538","0","0.729927","0","2.083333","0","0","0"
"20","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila;","0.892857","0","0","1.020408","0","0","0","2.564103","0","0","1.075269","0","0","0","0","0","0","3.125"
"21","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides graminisolvens;","0.892857","1.587302","1.538462","2.040816","1.282051","0","0","0","1.538462","0","1.075269","1.282051","0.729927","1.639344","0","0","0","0"
"22","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides oleiciplenus;","0.892857","3.174603","3.076923","1.020408","1.282051","0","0","0","1.538462","0.970874","4.301075","1.282051","1.459854","1.639344","4.166667","0","0","0"
"24","Bacteria;Thermotogae;Thermotogae;Petrotogales;Petrotogaceae;Defluviitoga;Defluviitoga tunisiensis;","0.892857","0","0","1.020408","0","0","0","0","0","0.970874","0","0","0","0","0","0","0","0"
"25","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:1013;","0.892857","0","0","0","0","1.818182","0","0","0","0","0","0","0.729927","0","0","0","0","0"
"26","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium sp. CAG:115;","0.892857","0","1.538462","0","0","0","0","0","0","0.970874","0","2.564103","2.189781","0","0","0","0","0"
"27","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. CAG:579;","0.892857","0","0","1.020408","0","0","0","2.564103","0","0","0","0","0","0","0","2.857143","0","0"
