"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;","91.011238","90.243896","91.666672","89.473686","88.461533","92.553192","91.935486","96.25","86.95652","95.620438","92.727272","88.541672","86.163521","85.365852","94.565216","91.358025","95.945946","97.674416"
"3","Eukaryota;Preaxostyla;NA;Oxymonadida;NA;NA;NA;","1.123595","2.439024","0.925926","0","1.538462","0","0","0","0","0","0","1.041667","0","2.439024","1.086957","0","0","0"
"4","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;","1.123595","0","0","2.631579","0","0","1.612903","0","0","0","0","0","2.515723","1.219512","0","1.234568","0","1.162791"
"5","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;NA;","1.123595","1.219512","0","0.877193","0","0","0","0","1.73913","0","0.909091","1.041667","0","0","0","1.234568","1.351351","0"
"9","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;","0","1.219512","0.925926","0","2.307692","1.06383","1.612903","0","0","0","0.909091","1.041667","1.257862","2.439024","0","0","0","0"
"12","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;NA;NA;NA;","0","0","0.925926","0","0","2.12766","0","0","0.869565","0","0","0","0","0","0","1.234568","0","0"
"14","Bacteria;Firmicutes;Bacilli;Lactobacillales;NA;NA;NA;","0","0","0","0.877193","0","0","0","0","0","0.729927","0","0","3.144654","0","0","0","0","0"
"15","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NA;NA;NA;","0","0","0","0","0.769231","2.12766","0","0","0","0","0.909091","1.041667","0.628931","0","1.086957","0","0","0"
"16","Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;NA;NA;NA;","0","0","0","0","0.769231","0","0","0","0","0","0.909091","2.083333","0","1.219512","0","0","0","0"
"10","Unclassified","5.617977","4.87805599999999","5.55555","6.140349","6.153851","2.12765800000001","4.838708","3.75","10.434785","3.649635","3.636364","5.208327","6.289309","7.317076","3.26087","4.938271","2.702703","1.16279300000001"
