"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;","17.142859","21.428572","31.428572","23.809525","22.033899","12.820514","18.181818","3.703704","18.75","31.914892","26.829269","16.393442","14.285715","19.512194","11.111112","17.857143","26.666668","25"
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;","17.142859","11.904762","14.285715","14.285715","16.949154","20.512821","18.181818","18.518518","6.25","10.638298","17.073172","26.229507","20.238096","14.634146","11.111112","17.857143","20","12.5"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;","12.857143","4.761905","17.142859","15.873016","15.254237","7.692308","3.030303","3.703704","15.625","12.765958","14.634146","6.557377","15.476191","17.073172","7.407407","7.142858","13.333334","25"
"4","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;","2.857143","0","0","3.174603","1.694915","0","0","0","0","4.255319","0","0","1.190476","0","0","0","0","0"
"5","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;NA;NA;","2.857143","0","0","1.587302","0","0","0","7.407407","0","0","2.439024","0","0","0","3.703704","0","0","0"
"6","Bacteria;Firmicutes;Clostridia;Candidatus Borkfalkiales;Candidatus Borkfalkiaceae;NA;NA;","2.857143","0","2.857143","0","0","2.564103","0","0","0","4.255319","0","3.278688","2.380952","0","0","0","0","0"
"7","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;","1.428571","7.142858","2.857143","3.174603","3.389831","5.128205","3.030303","0","0","4.255319","0","1.639344","1.190476","4.878048","3.703704","3.571429","0","0"
"8","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;","1.428571","2.380952","0","3.174603","1.694915","0","0","0","0","0","0","1.639344","1.190476","4.878048","0","0","0","0"
"10","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;","1.428571","2.380952","0","1.587302","0","0","9.090909","0","0","0","0","0","1.190476","0","3.703704","7.142858","0","0"
"16","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;","0","0","2.857143","1.587302","1.694915","5.128205","0","0","0","2.12766","2.439024","1.639344","0","2.439024","0","0","0","0"
"17","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;","0","0","2.857143","1.587302","0","0","0","3.703704","0","0","0","0","1.190476","2.439024","0","0","0","0"
"18","Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;NA;NA;","0","0","0","0","1.694915","0","0","0","3.125","0","2.439024","0","0","0","0","0","0","0"
"20","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;NA;NA;","0","0","0","0","0","2.564103","3.030303","0","3.125","0","0","0","1.190476","0","0","0","0","0"
"14","Unclassified","39.999997","49.999999","25.714282","30.158727","35.593219","43.589741","45.454546","62.962963","53.125","29.787235","34.146341","42.622954","40.47619","34.146344","59.259257","46.428569","39.999998","37.5"
