"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;","3.278688","10","20.689655","9.302325","16.216215","5.714286","12.5","18.75","21.052631","20","5.263158","2.222222","10","13.043478","9.090909","12","12.5","28.57143"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;","3.278688","2","3.448276","4.651163","0","2.857143","0","0","5.263158","10","13.157895","2.222222","2.222222","8.695652","4.545455","8","0","0"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;","3.278688","0","0","0","2.702703","0","0","0","0","0","0","0","1.111111","0","0","0","0","0"
"4","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;NA;","3.278688","0","0","2.325581","5.405406","2.857143","0","0","5.263158","0","2.631579","0","0","4.347826","4.545455","0","12.5","0"
"5","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;NA;","1.639344","0","3.448276","2.325581","0","0","0","0","5.263158","0","0","0","1.111111","0","0","0","0","0"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;NA;","1.639344","0","0","0","0","2.857143","0","0","0","0","2.631579","0","1.111111","4.347826","0","0","0","0"
"7","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;","1.639344","2","0","2.325581","0","0","0","6.25","0","0","0","2.222222","0","0","0","4","6.25","57.14286"
"12","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;NA;","0","6","0","2.325581","0","5.714286","0","0","0","0","0","0","1.111111","0","0","0","0","0"
"14","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;NA;","0","2","3.448276","2.325581","2.702703","2.857143","0","0","0","0","0","0","0","0","0","4","0","0"
"16","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;NA;","0","2","0","0","0","0","0","6.25","0","0","2.631579","2.222222","1.111111","0","0","4","6.25","0"
"18","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;","0","0","3.448276","0","2.702703","0","12.5","0","0","0","0","0","0","0","0","0","0","0"
"24","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;NA;","0","0","0","0","0","0","0","0","5.263158","3.333333","0","0","1.111111","0","4.545455","4","0","0"
"13","Unclassified","81.967216","76","65.517241","74.418607","70.27027","77.142856","75","68.75","57.894737","66.666667","73.68421","91.111112","81.111112","69.565218","77.272726","64","62.5","14.28571"
