Season,Domain,Phylum,Class,Mean,SD,SE
Spring,Bacteria,Bacteroidetes,Bacteroidia,7.775831667,4.549445265,1.857303252
Spring,Bacteria,Firmicutes,Bacilli,1.3827935,1.606637622,0.655907063
Spring,Bacteria,Firmicutes,Clostridia,26.05968467,7.953705355,3.247086614
Spring,Unclassified,NA,NA,64.78169017,6.516342117,2.660285529
Summer,Bacteria,Bacteroidetes,Bacteroidia,5.79276,3.599008546,1.469289086
Summer,Bacteria,Firmicutes,Bacilli,1.073905,1.691383468,0.690504409
Summer,Bacteria,Firmicutes,Clostridia,26.96649417,13.47066104,5.499374341
Summer,Unclassified,NA,NA,66.16684083,10.25876648,4.188123878
Winter,Bacteria,Bacteroidetes,Bacteroidia,10.3138534,5.440344071,2.432995833
Winter,Bacteria,Firmicutes,Bacilli,1.7424244,2.389668444,1.068692217
Winter,Bacteria,Firmicutes,Clostridia,25.9307368,11.36559426,5.082848273
Winter,Unclassified,NA,NA,62.0129854,12.75358369,5.703576017
