Season,Domain,Phylum,Class,Mean,SD,SE
Spring,Bacteria,Actinobacteria,Coriobacteriia,0.6791025,0.843448157,0.344336268
Spring,Bacteria,Bacteroidetes,Bacteroidia,45.96179767,8.14214654,3.324017406
Spring,Bacteria,Bacteroidetes,Cytophagia,0.663481333,0.540608759,0.220702602
Spring,Bacteria,Bacteroidetes,Flavobacteriia,0.369918667,0.577264341,0.23566718
Spring,Bacteria,Firmicutes,Bacilli,2.164477833,2.087329483,0.852148693
Spring,Bacteria,Firmicutes,Clostridia,30.4227675,3.586478481,1.464173709
Spring,Bacteria,Firmicutes,Erysipelotrichia,0,0,0
Spring,Bacteria,Proteobacteria,Gammaproteobacteria,0.622041667,0.497253623,0.203002941
Spring,Bacteria,Verrucomicrobia,Opitutae,0.460229333,0.518547641,0.211696188
Spring,Bacteria,Verrucomicrobia,Verrucomicrobiae,0.626896,0.501464444,0.204722002
Spring,Unclassified,NA,NA,18.0292875,5.227548961,2.134137926
Summer,Bacteria,Actinobacteria,Coriobacteriia,0.300910833,0.466877927,0.190602116
Summer,Bacteria,Bacteroidetes,Bacteroidia,41.6230245,7.811733197,3.189126723
Summer,Bacteria,Bacteroidetes,Cytophagia,0.442153833,0.485457302,0.198187114
Summer,Bacteria,Bacteroidetes,Flavobacteriia,0.636932667,0.750897806,0.306552746
Summer,Bacteria,Firmicutes,Bacilli,3.7801955,2.496897872,1.019354288
Summer,Bacteria,Firmicutes,Clostridia,33.88955667,5.027218614,2.052353405
Summer,Bacteria,Firmicutes,Erysipelotrichia,0.380159333,0.429127583,0.175190602
Summer,Bacteria,Proteobacteria,Gammaproteobacteria,0,0,0
Summer,Bacteria,Verrucomicrobia,Opitutae,0.141243,0.34597328,0.141243
Summer,Bacteria,Verrucomicrobia,Verrucomicrobiae,0.236481167,0.376610173,0.153750459
Summer,Unclassified,NA,NA,18.5693425,6.007814247,2.452679896
Winter,Bacteria,Actinobacteria,Coriobacteriia,0.4519918,0.618931726,0.276794683
Winter,Bacteria,Bacteroidetes,Bacteroidia,45.1387784,8.679165779,3.881440934
Winter,Bacteria,Bacteroidetes,Cytophagia,0,0,0
Winter,Bacteria,Bacteroidetes,Flavobacteriia,0.9680136,1.606509789,0.718453019
Winter,Bacteria,Firmicutes,Bacilli,1.683091,1.633062525,0.730327763
Winter,Bacteria,Firmicutes,Clostridia,33.0059706,5.299793702,2.370139797
Winter,Bacteria,Firmicutes,Erysipelotrichia,0,0,0
Winter,Bacteria,Proteobacteria,Gammaproteobacteria,0,0,0
Winter,Bacteria,Verrucomicrobia,Opitutae,0.1851852,0.414086696,0.1851852
Winter,Bacteria,Verrucomicrobia,Verrucomicrobiae,0.4686214,0.642581738,0.287371289
Winter,Unclassified,NA,NA,18.098348,3.917064465,1.751764483
