Season,Domain,Phylum,Class,Order,Family,Mean,SD,SE
Spring,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,0.3354235,0.520117855,0.212337225
Spring,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,0.343679167,0.532467916,0.217379116
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,18.58471567,5.000807526,2.041571123
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,0.406504,0.995727378,0.406504
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,2.525997,1.065559367,0.43501279
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,1.295109,1.213727521,0.495502185
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,0.203252,0.497863689,0.203252
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,5.036515167,2.058497022,0.84037789
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,7.065876833,3.131926331,1.27860357
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,8.958407,2.772566253,1.131895433
Spring,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,0.663481333,0.540608759,0.220702602
Spring,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0.369918667,0.577264341,0.23566718
Spring,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,0.5649805,0.636348297,0.259788104
Spring,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,1.031181,1.625336549,0.663540868
Spring,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,0.203252,0.497863689,0.203252
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,3.353166833,2.205369957,0.900338515
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,1.451216167,1.18830984,0.485125461
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,0.116550167,0.285488438,0.116550167
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,10.0376185,1.563082783,0.638125874
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,1.087266833,1.313682972,0.536308828
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,0.486468833,0.557910361,0.227765951
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,6.868181667,2.389131313,0.975358774
Spring,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,0,0,0
Spring,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,0.451973667,0.508135253,0.207445349
Spring,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,0.626896,0.501464444,0.204722002
Spring,Unclassified,NA,NA,NA,NA,27.9323685,4.500164727,1.837184557
Summer,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,0.143678167,0.351938196,0.143678167
Summer,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,0.157232667,0.385139804,0.157232667
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,18.1272535,3.466538346,1.415208354
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,0.298475667,0.463390706,0.189178464
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,1.698354333,2.091879698,0.854006311
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,1.066325167,1.00852685,0.411729362
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,0.095238167,0.233284912,0.095238167
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,3.132211833,1.742619852,0.711421575
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,7.6391085,2.376272628,0.970109238
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,6.077708167,2.82469544,1.153177085
Summer,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,0.298475667,0.463390706,0.189178464
Summer,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0.636932667,0.750897806,0.306552746
Summer,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,1.241640167,1.395313593,0.569634389
Summer,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,1.112329833,1.000615778,0.408499681
Summer,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,1.141304333,1.862156676,0.76022228
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,5.7991465,4.0171301,1.639986496
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,1.464065,1.053445294,0.43006724
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,0.3987785,0.638161153,0.2605282
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,11.315719,2.931781958,1.196894973
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,1.345874,1.283709545,0.524072227
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,0.238916333,0.381368058,0.155692858
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,6.955227167,1.243416652,0.507622722
Summer,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,0.380159333,0.429127583,0.175190602
Summer,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,0,0,0
Summer,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,0.236481167,0.376610173,0.153750459
Summer,Unclassified,NA,NA,NA,NA,28.99936417,7.134425726,2.912617106
Winter,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,0.224719,0.50248696,0.224719
Winter,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,0.2272728,0.50819743,0.2272728
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,18.5019118,4.73441795,2.117296074
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,0.2439024,0.545382346,0.2439024
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,1.7034416,0.608377615,0.272074741
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,2.1773758,1.393827298,0.623338518
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,0.8198086,1.131237433,0.50590476
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,2.7916486,1.87867927,0.840170911
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,6.278767,3.171664185,1.418411344
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,9.3579326,4.80043703,2.146820704
Winter,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,0,0,0
Winter,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0.9680136,1.606509789,0.718453019
Winter,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,1.085448,1.092992479,0.488801097
Winter,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,0,0,0
Winter,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,0.1851852,0.414086696,0.1851852
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,6.050327,2.384135764,1.066217927
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,0.9231668,0.955742977,0.427421253
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,0,0,0
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,9.1381802,3.620919954,1.619324632
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,0.3703704,0.828173391,0.3703704
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,0,0,0
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,8.0948198,3.800790701,1.699765275
Winter,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,0,0,0
Winter,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,0,0,0
Winter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,0.4686214,0.642581738,0.287371289
Winter,Unclassified,NA,NA,NA,NA,30.3890874,6.676820179,2.985964759
