Season,Domain,Phylum,Class,Order,Mean,SD,SE
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,61.30481283,10.31898904,4.212709637
Spring,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,0.816848,0.504015488,0.205763461
Spring,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,0.684589167,0.344085775,0.140472429
Spring,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0.548042167,0.677081051,0.276417181
Spring,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,1.351595167,1.459339315,0.59577278
Spring,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.288466333,0.449604486,0.183550263
Spring,Bacteria,Firmicutes,Bacilli,Bacillales,1.682336667,1.297247252,0.529598973
Spring,Bacteria,Firmicutes,Bacilli,Lactobacillales,0,0,0
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,5.599649333,1.842467254,0.752184107
Spring,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,0.417649333,0.675990602,0.275972008
Spring,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0.414324833,0.459878789,0.18774473
Spring,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,0.4090115,0.691959299,0.282491201
Spring,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0.118203333,0.289537853,0.118203333
Spring,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,2.623717667,2.543607606,1.038423457
Spring,Unclassified,NA,NA,NA,23.74075367,7.584507324,3.096362149
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,61.3700205,9.332496174,3.809975609
Summer,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,1.021003833,0.891301988,0.363872513
Summer,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,0.662484167,0.857300226,0.349991352
Summer,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0.493014,0.589474492,0.240651954
Summer,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,1.879480833,1.265141579,0.516491887
Summer,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.8281425,1.050472543,0.42885362
Summer,Bacteria,Firmicutes,Bacilli,Bacillales,1.037555667,0.714340234,0.291628179
Summer,Bacteria,Firmicutes,Bacilli,Lactobacillales,0.1216545,0.29799145,0.1216545
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,7.342811833,3.544846916,1.447177693
Summer,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,0.191570833,0.469250791,0.191570833
Summer,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0,0,0
Summer,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,0.402884,0.482157155,0.196839834
Summer,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0,0,0
Summer,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,3.5966165,1.77436658,0.724382123
Summer,Unclassified,NA,NA,NA,21.05276083,6.185405218,2.525181106
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,59.820697,7.414089964,3.31568183
Winter,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,0.3610052,0.504024635,0.225406669
Winter,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,0.9865372,0.762962309,0.341207118
Winter,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0.5654378,0.52816941,0.236204541
Winter,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.9134194,1.148040584,0.513419358
Winter,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.7005928,0.677352298,0.302921156
Winter,Bacteria,Firmicutes,Bacilli,Bacillales,0,0,0
Winter,Bacteria,Firmicutes,Bacilli,Lactobacillales,0.6080152,0.557187109,0.24918165
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,7.5514332,3.14122382,1.404797999
Winter,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,3.49293,3.710431348,1.659355344
Winter,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0,0,0
Winter,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,0.1526718,0.341384523,0.1526718
Winter,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0.3395876,0.468923283,0.209708867
Winter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,3.1894832,1.616555993,0.722945818
Winter,Unclassified,NA,NA,NA,21.3181896,6.188489255,2.76757653
