Season,Domain,Phylum,Class,Order,Family,Genus,Species,Mean,SD,SE
Spring,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces qiguomingii,0.4497355,0.712814587,0.291005336
Spring,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas soli,0.537774333,0.833278943,0.340184704
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides congonensis,1.438033833,1.060464701,0.432932901
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Dysgonomonas,Dysgonomonas capnocytophagoides,0.273224,0.669259385,0.273224
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp. Z76,0,0,0
Spring,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. 83,0.273224,0.669259385,0.273224
Spring,Bacteria,Chloroflexi,NA,NA,NA,NA,Chloroflexi bacterium,0.297619,0.729014688,0.297619
Spring,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus fonticola,0,0,0
Spring,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus pectinilyticus,1.3996225,1.630706566,0.665733168
Spring,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca,Jeotgalibaca porci,0.185185167,0.453609166,0.185185167
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. CAG:167,1.149088667,1.218453229,0.497431448
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,Hungatella hathewayi,0.338090333,0.527336108,0.215284065
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA,Clostridiaceae bacterium,2.041463667,0.925835367,0.377970706
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna,Anaerocolumna sp. CBA3638,0,0,0
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerosacchariphilus,Anaerosacchriphilus polymeriproducens,0.955229833,0.786562071,0.321112621
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia marasmi,0.4497355,0.712814587,0.291005336
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia producta,0,0,0
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia schinkii,0.529100667,0.819679228,0.334632644
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cuneatibacter,Cuneatibacter caecimuris,0.7150745,0.834504946,0.340685218
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Eisenbergiella sp. OF01-20,0.264550333,0.648013328,0.264550333
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Enterocloster clostridioformis,0,0,0
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phocaeense,0.682005833,0.786122532,0.32093318
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,0.537774333,0.833278943,0.340184704
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,1.0205785,0.822293827,0.335700049
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Muricomes,Muricomes intestini,0.6906795,0.798301572,0.325905252
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Murimonas,Murimonas intestini,0.537774333,0.833278943,0.340184704
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,Lachnospiraceae bacterium A4,0.740740833,1.814437073,0.740740833
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,Lachnospiraceae bacterium C6A11,0.4174555,0.680528135,0.277824448
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,Lachnospiraceae bacterium MD308,0.4174555,0.680528135,0.277824448
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,Lachnospiraceae bacterium Oil+RF-744-WCA-WT-11,0.8597885,1.472359681,0.601088323
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,Lachnospiraceae bacterium WCA-9-b2,0.152905167,0.374539637,0.152905167
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,Lachnospiraceae bacterium,2.6660055,2.264406741,0.924440181
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia sp. 1XD42-69,0.152905167,0.374539637,0.152905167
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia sp. 831b,1.011904667,1.292883601,0.52781752
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,Tyzzerella sp. An114,1.5255905,1.333839917,0.544537866
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,Clostridiales bacterium 41_21_two_genomes,0.273224,0.669259385,0.273224
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,Clostridiales bacterium,6.348290167,4.293419129,1.75278102
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acutalibacter,Acutalibacter sp. 1XD8-33,0.152905167,0.374539637,0.152905167
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaeromassilibacillus,Anaeromassilibacillus sp. An172,0.264550333,0.648013328,0.264550333
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,Ruminococcaceae bacterium,1.322751333,2.10977804,0.861313278
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neglecta,Neglecta timonensis,1.661630333,1.424472483,0.581538456
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus flavefaciens,0.8531745,1.409428467,0.575396762
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus sp. AM29-12LB,0.562169333,0.87316619,0.356468604
Spring,Bacteria,Firmicutes,NA,NA,NA,NA,Firmicutes bacterium CAG:272,1.502900333,0.772083217,0.315201654
Spring,Bacteria,Firmicutes,NA,NA,NA,NA,Firmicutes bacterium CAG:534,0.450524167,0.750016264,0.306192858
Spring,Bacteria,Firmicutes,NA,NA,NA,NA,Firmicutes bacterium CAG:882,0.426129167,0.698514422,0.285167319
Spring,Bacteria,Firmicutes,NA,NA,NA,NA,Firmicutes bacterium,0.987816167,1.536134226,0.627124172
Spring,Bacteria,NA,NA,NA,NA,NA,bacterium 0.1xD8-71,0.7473545,0.84754201,0.346007577
Spring,Bacteria,NA,NA,NA,NA,NA,bacterium 0.1xD8-82,1.326388833,0.698740734,0.28525971
Spring,Bacteria,NA,NA,NA,NA,NA,bacterium 1xD42-62,0.529100667,0.819679228,0.334632644
Spring,Bacteria,NA,NA,NA,NA,NA,bacterium 1xD42-87,1.429360167,1.058700214,0.432212552
Spring,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Petrotoga,Petrotoga mobilis,0.338090333,0.527336108,0.215284065
Spring,Unclassified,NA,NA,NA,NA,NA,NA,58.11332483,7.682924793,3.136540913
Summer,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces qiguomingii,0.498511833,0.773451623,0.315760303
Summer,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas soli,0.370370333,0.907218333,0.370370333
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides congonensis,0.682645667,1.257949974,0.513555926
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Dysgonomonas,Dysgonomonas capnocytophagoides,0.615026667,0.969411834,0.395760724
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp. Z76,0.9630755,1.090040025,0.445006977
Summer,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. 83,0.516422333,0.879702363,0.359136986
Summer,Bacteria,Chloroflexi,NA,NA,NA,NA,Chloroflexi bacterium,0.35461,0.868613558,0.35461
Summer,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus fonticola,0.532182667,0.914500585,0.3733433
Summer,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus pectinilyticus,0.919289167,0.845091476,0.345007151
Summer,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca,Jeotgalibaca porci,0.142450167,0.348930222,0.142450167
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. CAG:167,0,0,0
