Season,Domain,Phylum,Mean,SD,SE
Spring,Bacteria,Actinobacteria,1.0529905,1.284744041,0.524494559
Spring,Bacteria,Bacteroidetes,45.28983967,11.53046109,4.707291029
Spring,Bacteria,Firmicutes,39.43595233,11.35426296,4.635358442
Spring,Bacteria,Proteobacteria,0.4700855,0.732753414,0.299145329
Spring,Bacteria,Thermotogae,0.310621833,0.481845288,0.196712515
Spring,Unclassified,NA,13.44051017,3.616209014,1.476311148
Summer,Bacteria,Actinobacteria,1.277304667,0.731174379,0.29850069
Summer,Bacteria,Bacteroidetes,49.621294,11.26104265,4.597301409
Summer,Bacteria,Firmicutes,36.28934417,9.989320418,4.078122983
Summer,Bacteria,Proteobacteria,0.576254333,0.894518887,0.365185806
Summer,Bacteria,Thermotogae,0.170068,0.416579822,0.170068
Summer,Unclassified,NA,12.06573483,2.736380493,1.117122658
Winter,Bacteria,Actinobacteria,0.4166666,0.931694842,0.4166666
Winter,Bacteria,Bacteroidetes,46.0576936,11.54189033,5.161690274
Winter,Bacteria,Firmicutes,39.5073272,10.84501281,4.850037172
Winter,Bacteria,Proteobacteria,0,0,0
Winter,Bacteria,Thermotogae,0,0,0
Winter,Unclassified,NA,14.0183126,4.623219884,2.067566787
