Season,Domain,Phylum,Class,Order,Family,Mean,SD,SE
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,10.24228717,8.270719961,3.376507285
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,0.5555555,1.360827499,0.5555555
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,6.624404333,4.167726737,1.701467316
Spring,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,0.771929833,1.212431774,0.494973199
Spring,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0.908046,1.479413542,0.603968049
Spring,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,2.688748167,2.940648685,1.200514798
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,1.347298167,1.763477588,0.71993671
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,7.0151935,4.055005933,1.65544924
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,0.945083,1.514581574,0.618325339
Spring,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,0.847936667,1.43276492,0.584923829
Spring,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0,0
Spring,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,0.945083,1.514581574,0.618325339
Spring,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,1.142300167,1.267626177,0.51750622
Spring,Unclassified,NA,NA,NA,NA,65.9661345,8.733077456,3.565263942
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,11.673437,4.434280794,1.810287553
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,0.942761,1.820051592,0.743032951
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,4.738428667,4.404201049,1.798007549
Summer,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,0.757575833,1.855674233,0.757575833
Summer,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.314237833,1.450025525,0.591970442
Summer,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,4.772065,2.386831369,0.974419826
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,1.701834833,1.986138771,0.810837758
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,10.72650083,2.301532382,0.93959666
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,1.314237833,1.450025525,0.591970442
Summer,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,0.572782,0.966893926,0.394732793
Summer,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,0.185185167,0.453609166,0.185185167
Summer,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,1.1122345,1.837907746,0.750322695
Summer,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,0.185185167,0.453609166,0.185185167
Summer,Unclassified,NA,NA,NA,NA,60.00353433,9.185329922,3.749895238
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,15.3605262,4.229271401,1.891387669
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,1.8526316,2.57583059,1.151946459
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,3.7052632,5.151661179,2.303892919
Winter,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,0,0,0
Winter,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0.8,1.788854382,0.8
Winter,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,3.5526316,5.496473317,2.458097595
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,6.6,4.488178918,2.007174631
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,5.6026316,4.529512333,2.025659496
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,3.3,5.42678542,2.42693222
Winter,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,1.0526316,2.353755813,1.0526316
Winter,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,3.5526316,5.496473317,2.458097595
Winter,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,1.25,2.795084972,1.25
Winter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,3.3,3.149404706,1.408456602
Winter,Unclassified,NA,NA,NA,NA,50.0710526,5.132351555,2.295257392
