Season,Domain,Phylum,Class,Order,Family,Genus,Mean,SD,SE
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,10.24228717,8.270719961,3.376507285
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,0.5555555,1.360827499,0.5555555
Spring,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,5.6845135,4.708008314,1.922036346
Spring,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,0.908046,1.479413542,0.603968049
Spring,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,1,2.449489743,1
Spring,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,0.9850445,1.539683541,0.628573173
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.976927667,1.086222203,0.443448357
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,0.7118205,1.146518752,0.46806432
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,0.546448,1.338518771,0.546448
Spring,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,0.574712667,1.407752782,0.574712667
Spring,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,0.847936667,1.43276492,0.584923829
Spring,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,1.142300167,1.267626177,0.51750622
Spring,Unclassified,NA,NA,NA,NA,NA,75.82440767,9.655367431,3.941787247
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,10.56120217,3.624774238,1.479807886
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,0.942761,1.820051592,0.743032951
Summer,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,3.828605833,2.934656474,1.198068488
Summer,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,1.314237833,1.450025525,0.591970442
Summer,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,1.525163,2.251187512,0.919043453
Summer,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,3.246901833,1.954509152,0.79792502
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.387596833,0.949414468,0.387596833
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,1.386013333,1.831678298,0.747779534
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,0.635635667,1.105891039,0.451478126
Summer,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,0.4504505,1.103373879,0.4504505
Summer,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,0.572782,0.966893926,0.394732793
Summer,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0.185185167,0.453609166,0.185185167
Summer,Unclassified,NA,NA,NA,NA,NA,74.96346483,4.457353819,1.819707077
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,15.3605262,4.229271401,1.891387669
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,1.8526316,2.57583059,1.151946459
Winter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,2.6526316,3.758941344,1.681049674
Winter,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,0.8,1.788854382,0.8
Winter,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,0,0,0
Winter,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,3.5526316,5.496473317,2.458097595
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,3.3,3.149404706,1.408456602
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,0,0,0
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,0,0,0
Winter,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,2.5,5.590169944,2.5
Winter,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,1.0526316,2.353755813,1.0526316
Winter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,3.3,3.149404706,1.408456602
Winter,Unclassified,NA,NA,NA,NA,NA,65.6289474,6.515738411,2.913926802
