"Compound","P-value","Lower_CI","Upper_CI","AdjP"
"Acetate","0.00606060606060606","137.2986","1053.1179",0.0150793483666337
"Butyrate","0.0100305426958055","28.0497398575289","97.6772847907754",0.0150793483666337
"Fructose","0.00606060606060606","3.1315","166.7835",0.0150793483666337
"Glucose","0.00606060606060606","2.7965","42.6798",0.0150793483666337
"Glutamate","0.0105555438566436","6.68449258608336","67.2531234688508",0.0150793483666337
"Lactate","0.0158730158730159","0.536","4.1386",0.017636684303351
"Mannose","0.0100305426958055","0.381131506929842","43.8698545222297",0.0150793483666337
"Phenylalanine","0.0650637068788199","-0.0227565264813522","0.72312831276542",0.0650637068788199
"Propionate","0.00606060606060606","18.7679","57.1542",0.0150793483666337
"Uracil","0.0146218625630701","0.8039","1.1257",0.017636684303351
