Number,ID,Season,Sex,Antibiotics,Substrate,Diet,Mom,Mom_Location,BodyMass,BodyTemp,Ketones,Date_Sampled,
3998,P01,Spring,Female,No,Inulin,1,3948,Tumbledown,153.8,39,0.6,3/8/2018,
3987,P03,Spring,Male,No,Saline,1,3961,AgStation,172.6,36.5,0.6,3/12/2018,
4023,P05,Spring,Female,Yes,Saline,1,3946,Tumbledown,170.3,39,0.3,3/16/2018,
3993,P06,Spring,Female,Yes,Saline,1,3948,Tumbledown,152.1,40,0.6,3/19/2018,
4033,P07,Spring,Female,No,Inulin,1,3949,Tumbledown,154.6,38.5,0.4,3/20/2018,
3985,P08,Spring,Male,No,Inulin,1,3961,AgStation,170,39,0.6,3/21/2018,
3999,P09,Spring,Male,No,Saline,1,3948,Tumbledown,172.7,37,0.3,3/22/2018,
3990,P11,Spring,Male,No,Inulin,1,3961,AgStation,188.6,36,0.4,3/26/2018,
4012,P12,Spring,Male,No,Saline,1,3957,AgStation,170.1,37,0.3,3/27/2018,
4025,P15,Spring,Male,No,Inulin,1,3946,Tumbledown,159.6,38,0.2,3/29/2018,
4046,P16,Spring,Male,No,Saline,1,3954,Tumbledown,154.4,39,0.2,3/30/2018,
4119,P19,Spring,Male,Yes,Saline,2,4070,AgStation,164.5,37,0.1,3/12/2019,
4130,P20,Spring,Female,Yes,Saline,2,4073,AgStation,149.8,36,0.2,3/12/2019,
4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,0.4,3/13/2019,
4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,0.3,3/13/2019,
4150,P24,Spring,Male,Yes,Saline,2,4061,AgStation,147.3,39,0.5,3/14/2019,
4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,0.3,3/15/2019,
4127,P28,Spring,Male,Yes,Inulin,2,4071,AgStation,118.9,36,0.8,3/18/2019,
4090,P30,Spring,Male,Yes,Inulin,2,4068,AgStation,157.1,38,0.4,3/19/2019,
4116,P32,Spring,Male,Yes,Saline,2,4066,AgStation,144.2,39,0.2,3/20/2019,
4095,P33,Spring,Male,No,Saline,2,4068,AgStation,170.9,37,0.4,3/21/2019,
4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,0.1,3/21/2019,
4110,P35,Spring,Female,No,Saline,2,4066,AgStation,154.2,40,0.3,3/22/2019,
4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,0.3,3/22/2019,
4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,0.3,3/25/2019,
4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,0.2,3/26/2019,
4098,P41,Spring,Male,No,Saline,2,4067,AgStation,174.9,38.5,0.3,3/27/2019,
3964,S01,Summer,Male,No,Saline,1,3958,AgStation,NA,NA,NA,7/13/2017,
3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,NA,7/19/2017,
4022,S05,Summer,Male,No,Saline,1,3946,Tumbledown,148,39,NA,7/25/2017,
3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,NA,7/26/2017,
4016,S07,Summer,Female,No,Inulin,1,3947,Tumbledown,144,36,NA,7/27/2017,
4029,S08,Summer,Female,No,Saline,1,3949,Tumbledown,157,36,NA,7/28/2017,
3992,S10,Summer,Female,Yes,Inulin,1,3948,Tumbledown,124,36,NA,8/1/2017,
4026,S11,Summer,Female,No,Saline,1,3946,Tumbledown,167,37,NA,8/2/2017,
3967,S12,Summer,Male,Yes,Saline,1,3958,AgStation,156,35,NA,8/3/2017,
4045,S21,Summer,Female,Yes,Inulin,1,3954,Tumbledown,172,38.5,NA,8/14/2017,
4002,S23,Summer,Female,Yes,Saline,1,3955,Tumbledown,183,34,NA,8/16/2017,
4043,S24,Summer,Male,No,Saline,1,3954,Tumbledown,175,36,NA,8/17/2017,
4000,S29,Summer,Female,No,Inulin,1,3955,Tumbledown,225,35,NA,8/23/2017,
4010,S30,Summer,Male,Yes,Inulin,1,3957,AgStation,213,33,NA,8/24/2017,
4038,S31,Summer,Female,Yes,Saline,1,3956,Tumbledown,207,31,NA,8/25/2017,
4036,S32,Summer,Female,No,Saline,1,3956,Tumbledown,211,34,NA,8/28/2017,
4007,S34,Summer,Female,No,Inulin,1,3957,AgStation,213,36,NA,8/30/2017,
3982,S37,Summer,Male,Yes,Inulin,1,3961,AgStation,158,35,NA,9/1/2017,
4019,S39,Summer,Female,Yes,Saline,1,3947,Tumbledown,211,33.5,NA,9/5/2017,
4126,S47,Summer,Female,No,Saline,2,4065,AgStation,162,36,0.6,8/10/2018,
4142,S48,Summer,Male,No,Saline,2,4061,AgStation,143,34,0.3,8/10/2018,
4134,S49,Summer,Male,No,Inulin,2,4076,AgStation,147.6,33,0.6,8/13/2018,
4154,S50,Summer,Male,No,Inulin,2,4062,AgStation,167.1,37,0.6,8/13/2018,
4081,S53,Summer,Female,Yes,Saline,2,4072,AgStation,160.8,35,0.6,8/15/2018,
4097,S54,Summer,Female,Yes,Saline,2,4067,AgStation,159.2,37,0.4,8/15/2018,
4089,S56,Summer,Male,Yes,Saline,2,4064,AgStation,166.2,37,0,8/16/2018,
4143,S59,Summer,Female,Yes,Inulin,2,4061,AgStation,159.1,40,0.3,8/20/2018,
4169,S60,Summer,Male,Yes,Inulin,2,4063,AgStation,162,37,0.2,8/20/2018,
4106,S61,Summer,Female,Yes,Inulin,2,4066,AgStation,152.1,36.5,0.2,8/21/2018,
4013,W03,Winter,Female,Yes,Inulin,1,3957,AgStation,125.4,36,1.6,1/22/2018,
4056,W04,Winter,Male,Yes,Saline,1,3945,AgStation,157.5,37,2.4,1/30/2018,
4040,W07,Winter,Male,Yes,Inulin,1,3956,AgStation,153.9,36.5,2.4,1/29/2018,
3986,W08,Winter,Female,Yes,Saline,1,3961,AgStation,142,38,2.1,1/31/2018,
